HER (-3.2770934894820054, 'share')
HER (-3.2163485630198454, 'thank')
HER (-2.9094245739654521, 'tasmania')
HER (-2.7488292998811823, 'jg')
HER (-2.5366402233877232, 'hobart')
HER (-2.5246596294400838, 'agree')
HER (-2.4975832917517673, 'abbott')
HER (-2.4937044548954543, 'stop')
HER (-2.4872645416856325, 'wolf')
HER (-2.4732777522217373, 'australia')
HER (-2.4641559175493128, 'love')
HER (-2.4429842119962042, 'president')
HER (-2.3000843295476012, 'women')
HER (-2.2790472832399602, 'minnesota')
HER (-2.2699767141994709, 'labor')
HER (-2.2634288582074698, 'australians')
HER (-2.1430264103047412, 'nrcc org')
HER (-2.1353403020129118, 'border')
HER (-2.1334065549380488, 'happy')
HER (-2.0854284342182279, 'told')
HER (-2.0639413830407434, 'cover')
HER (-2.0454386429461118, 'senate')
HER (-1.9950715897102675, 'asked')
HER (-1.9899915334439207, 'tom wolf')
HER (-1.9797965314328581, 'family')
HER (-1.9677640546290911, 'birthday')
HER (-1.9516248764385964, 'gun')
HER (-1.9351824008559131, 'tasmanian')
HER (-1.9208982933011238, 'remember')
HER (-1.9025810388091524, 'makeamericagreatagain')
HER (-1.9019670882544111, 'ireland')
HER (-1.8921355585015993, '000')
HER (-1.8630513737215997, 'government')
HER (-1.8567612554445174, 'people')
HER (-1.8530690367737768, 'thankful')
HER (-1.8440826432261523, 'france')
HER (-1.838748468959178, 'months')
HER (-1.8382014644370011, 'amazing')
HER (-1.8358172210744246, 'honour')
HER (-1.8251272399295735, 'paris')
HER (-1.824693217802011, 'krudd')
HER (-1.797698465756435, 'paul ryan')
HER (-1.7883140792000827, 'packers')
HER (-1.7869418710802816, 'america')
HER (-1.7760334360522236, 'believe')
HER (-1.7737868063934519, 'breaking')
HER (-1.7648079666394654, 'india')
HER (-1.7521175452630964, 'liberals')
HER (-1.7501210169548782, 'obamacare')
HER (-1.7423269355074384, 'stand')
HER (-1.7386512637607103, 'gov rick')
HER (-1.7150624986493921, 'journey')
HER (-1.6791867888395331, 'straight')
HER (-1.6696028235423848, 'tories')
HER (-1.6612439631813229, 'nation')
HER (-1.6556034588455228, 'gov rick perry')
HER (-1.6554072875999772, 'parents')
HER (-1.651295573033241, 'let')
HER (-1.6335756265380987, 'team usa')
HER (-1.6201918357745906, 'paid')
HER (-1.6036812935995171, 'offer')
HER (-1.5792469650529275, 'reagan')
HER (-1.5765282798696101, 'years')
HER (-1.575629827008445, 'australian')
HER (-1.575491271301122, 'god')
HER (-1.5591622342612819, 'wrong')
HER (-1.5568122713341623, 'thoughts prayers')
HER (-1.5539878061873038, 'syria')
HER (-1.5491310314388909, 'say')
HER (-1.5450810498923082, 'veterans')
HER (-1.5437440749821367, 'stopped')
HER (-1.543503420185169, 'petition')
HER (-1.5392109713288651, 'lord')
HER (-1.5380750191481662, 'wage')
HER (-1.5323872725849614, 'sydney')
HER (-1.5320282617683267, 'attack')
HER (-1.5211899283566443, 'woman')
HER (-1.5137917202616329, 'proud')
HER (-1.5126681430509463, 'country')
HER (-1.5102667650632213, 'scotland')
HER (-1.5052900357490284, 'tony abbott')
HER (-1.5014240451849121, 'politicians')
