HER (-6.8543290603806204, 'type_photo')
HER (-3.5594298730555183, 'wolf')
HER (-3.4861294986432418, 'jg')
HER (-2.758304955086754, 'abbott')
HER (-2.7019216087592932, 'tasmania')
HER (-2.581001352621759, 'australia')
HER (-2.4804649339188618, 'australian')
HER (-2.3948824538425568, 'government')
HER (-2.2872478638152645, 'hillary')
HER (-2.2407149251407112, 'is_analytic_no')
HER (-2.2066790496298441, 'scottish')
HER (-2.1940227963000276, 'australians')
HER (-2.1721323213819361, 'ireland')
HER (-2.1174127995572678, 'border')
HER (-2.0998976952950739, 'cover')
HER (-2.058205399661619, 'scotland')
HER (-2.0477240734645448, 'liberals')
HER (-2.0451052737249884, 'repeal')
HER (-2.001110362115901, 'president')
HER (-1.9867528879612186, 'tom')
HER (-1.9818936280130159, 'sydney')
HER (-1.9712632223423534, 'senate')
HER (-1.9652475347460263, 'minnesota')
HER (-1.9638907436195152, 'women')
HER (-1.9550602669963726, 'prayers')
HER (-1.92997467477102, 'paul')
HER (-1.8895710746399197, 'stop')
HER (-1.8458037884355905, 'nicola')
HER (-1.8442896603233081, 'clinton')
HER (-1.8356551267595327, 'makeamericagreatagain')
HER (-1.8135958537380314, 'remember')
HER (-1.7946958925418839, 'paris')
HER (-1.7938412210241523, 'labor')
HER (-1.7696234026910724, 'executive')
HER (-1.7404733101621666, 'turnbull')
HER (-1.7104352396783467, 'has_hashtag')
HER (-1.7060457178264357, 'hobart')
HER (-1.6917404671579452, 'refugees')
HER (-1.6819231549013018, 'thank')
HER (-1.6704787017997662, 'birthday')
HER (-1.6704324504043242, 'god')
HER (-1.6543724883283331, 'america')
HER (-1.6442546846020381, 'country')
HER (-1.6407520820154249, 'paid')
HER (-1.6381452481713317, 'francis')
HER (-1.6197752924989639, 'breaking')
HER (-1.6175121115281021, 'heart')
HER (-1.6092541543106174, '000')
HER (-1.6024544551926605, 'lord')
HER (-1.5928746071084119, 'law')
HER (-1.587638595452429, 'lawsuit')
HER (-1.5823355514318553, 'goes')
HER (-1.5801390261525057, 'happy')
HER (-1.5789959351239113, 'woman')
HER (-1.5745050174520876, 'agree')
HER (-1.5692694549360588, 'say')
HER (-1.5655625391575065, 'drug')
HER (-1.5549261710723918, 'petition')
HER (-1.5263137393437525, 'love')
HER (-1.5168494369155159, 'moved')
HER (-1.5163905887174702, 'malcolm')
HER (-1.4993503714011558, 'let')
HER (-1.499097071110562, 'negemo_yes')
HER (-1.4890711387429525, 'million')
HER (-1.4806483156692043, 'asked')
HER (-1.4627050971500914, 'irs')
HER (-1.4624658619105584, 'condolences')
HER (-1.4597125075472657, 'standing')
HER (-1.4516186624430427, 'reagan')
HER (-1.4501629828088412, 'tedcruz')
HER (-1.4499872993291936, 'minneapolis')
HER (-1.4455839544268048, 'elected')
HER (-1.4312260838189308, 'religious')
HER (-1.4286179374950747, 'intend')
HER (-1.4237094265949508, 'sharing')
HER (-1.4203332857892565, 'leaders')
HER (-1.4193126321675624, 'syria')
HER (-1.411772897569183, 'told')
