HER (-8.3209329411467081, 'newt')
HER (-7.0405951266500297, 'hillary')
HER (-4.7786950714924696, 'bernie')
HER (-4.1759132976828122, 'sanders')
HER (-3.3065415812284282, 'taoiseach')
HER (-3.2128920028643977, 'type_photo')
HER (-3.2090749958408038, 'hillary 2016')
HER (-3.1413336413009176, 'obamacare')
HER (-2.9733304361444706, 'irs')
HER (-2.804962582540997, 'nz')
HER (-2.6996072536991238, 'makedclisten')
HER (-2.4193654034180256, 'fullrepeal')
HER (-2.3407338752805855, 'people')
HER (-2.2603459388870615, 'christchurch')
HER (-2.2576486363620845, 'type_status obama')
HER (-2.1832677267744822, 'share')
HER (-2.1523192150082657, 'senate')
HER (-2.105955671132393, 'massachusetts')
HER (-2.0870001622275445, 'type_event')
HER (-2.0360420813663884, 'parents')
HER (-1.9704081248295882, 'ireland')
HER (-1.9575087001732323, 'financial')
HER (-1.9476754178776921, 'power_yes netspeak_yes type_photo')
HER (-1.9093317035109092, 'reward_yes low_wps type_status')
HER (-1.9047737303083569, 'defundobamacare')
HER (-1.9001213576474092, 'amazing')
HER (-1.8759252591248865, 'has_url like')
HER (-1.8542498425490155, 'wellington')
HER (-1.8143224375042248, 'sen sanders')
HER (-1.8129217696681401, 'type_link newt')
HER (-1.8050971995529581, '2014')
HER (-1.7329057457475072, 'european')
HER (-1.7299613191679613, 'type_link pm')
HER (-1.699118010281617, 'por')
HER (-1.6959994051333307, 'netspeak_yes high_wps has_qmark')
HER (-1.684498031398229, 'united')
HER (-1.6767265614896596, 'immigration')
HER (-1.6689895944639621, 'is_authentic_yes low_wps type_photo')
HER (-1.6601812111046161, 'new zealand')
HER (-1.6601812111046161, 'zealand')
HER (-1.6417861038074517, 'mom')
HER (-1.6350149565029573, 'newsletter')
HER (-1.6260246473183688, 'minister')
HER (-1.6085169444091092, 'trump')
HER (-1.6022364691463387, 'spoke')
HER (-1.6004117302603762, 'billionaire')
HER (-1.5225583015408317, 'wonderful')
