HER (-2.2072343455729251, 'assent_yes')
HER (-1.89032339146571, 'certain_yes')
HER (-1.7838871041278779, 'risk_yes')
HER (-1.7636742803819001, 'is_clout_no')
HER (-1.517405880680011, 'negemo_yes')
HER (-1.4902955701869376, 'discrep_yes')
HER (-1.4881014057493787, 'affiliation_yes')
HER (-1.3233984336019349, 'is_authentic_yes')
HER (-1.3215643446840677, 'is_clout_yes')
HER (-1.1549968246980435, 'differ_yes')
HER (-1.0411991019265565, 'is_tone_yes')
HER (-0.98824058715245955, 'swear_yes')
HER (-0.9432166090002041, 'is_analytic_no')
HER (-0.82810362433426388, 'anx_yes')
HER (-0.82450970883303176, 'posemo_yes')
HER (-0.78125581779742392, 'feel_yes')
HER (-0.77990111895553815, 'is_authentic_no')
HER (-0.63645952566288932, 'cause_yes')
HER (-0.51724542679296737, 'filler_yes')
HER (-0.37878023793190668, 'power_yes')
HER (-0.23812689590995398, 'anger_yes')
HER (-0.22619260807450545, 'achieve_yes')
HER (-0.099039336774306291, 'insight_yes')
HER (-0.09055295488165728, 'sad_yes')
HER (-0.061630469819060861, 'is_tone_no')
LER (2.020447118877025, 'netspeak_yes')
LER (1.4159030471448517, 'see_yes')
LER (1.2588420788975396, 'tentat_yes')
LER (0.81988068219758403, 'is_analytic_yes')
LER (0.4381808884077148, 'nonflu_yes')
LER (0.27847071101504256, 'hear_yes')
LER (0.27675867442976365, 'reward_yes')
