HER (-3.6910916739664033, 'posemo_yes')
HER (-2.9718327980058614, 'see_yes')
HER (-2.8700756737858768, 'anger_yes')
HER (-2.0485524796187167, 'low_wps')
HER (-1.5490032045947086, 'anx_yes')
HER (-1.3265905739084789, 'sad_yes')
HER (-1.3074412001351658, 'is_clout_no')
HER (-1.28373763307233, 'swear_yes')
HER (-1.1828170401564801, 'risk_yes')
HER (-1.0514463783955696, 'differ_yes')
HER (-0.91111029861230397, 'discrep_yes')
HER (-0.70341145718012255, 'nonflu_yes')
HER (-0.49981975639293003, 'cause_yes')
HER (-0.42233628295148107, 'hear_yes')
HER (-0.27917663060178799, 'reward_yes')
HER (-0.14564633229786228, 'feel_yes')
HER (-0.093866254320309012, 'is_authentic_yes')
HER (-0.089619228842413148, 'certain_yes')
HER (-0.020499054697397281, 'affiliation_yes')
LER (2.5046683049781127, 'filler_yes')
LER (2.2126956727098555, 'netspeak_yes')
LER (1.6751707460789389, 'negemo_yes')
LER (1.6087726669615463, 'has_qmark')
LER (1.1238528420639193, 'assent_yes')
LER (1.0035250222616923, 'is_analytic_no')
LER (0.98128542529246354, 'is_tone_yes')
LER (0.70934659335612904, 'many_sixltr')
LER (0.5521229001153769, 'achieve_yes')
LER (0.41881120151985063, 'is_authentic_no')
LER (0.16569454896444896, 'is_clout_yes')
