HER (-5.1333494309843299, 'type_photo')
HER (-1.3124937422338234, 'type_video')
HER (-0.96573554667626849, 'see_yes')
HER (-0.82587114935957751, 'feel_yes')
HER (-0.74925985525224703, 'insight_yes')
HER (-0.67228535403250145, 'low_wps')
HER (-0.51300372657362048, 'anger_yes')
HER (-0.22338241191739749, 'cause_yes')
HER (-0.16145432807355947, 'risk_yes')
LER (3.4792870922206824, 'type_status')
LER (2.9048228954702107, 'type_music')
LER (2.879000831759265, 'type_link')
LER (1.0898118792298503, 'has_hashtag')
LER (1.0815735666306237, 'swear_yes')
LER (0.99877838651609729, 'is_clout_no')
LER (0.92882375845881304, 'has_qmark')
LER (0.83245839356139018, 'tentat_yes')
LER (0.6562505214745552, 'is_analytic_no')
LER (0.60748974942450029, 'netspeak_yes')
LER (0.48730278862633719, 'is_clout_yes')
LER (0.33090884930073428, 'type_event')
LER (0.32370070366004233, 'is_tone_no')
LER (0.28290448643348931, 'assent_yes')
LER (0.27049550386157695, 'anx_yes')
LER (0.21832786139996802, 'is_authentic_no')
LER (0.06511262794132136, 'is_tone_yes')
