America is about second chances  but too many nonviolent offenders are serving unfair sentences—that's a strain on our economy and our communities. http://ofa.bo/j9hP,LER,link
Look good while fighting for progress in 2016: http://ofa.bo/d5X3,LER,link
Help spread the facts about the issues you care about most: http://ofa.bo/a5ad,LER,photo
Mark your calendars. http://ofa.bo/u6x,LER,link
Millions of Americans have already enrolled through the marketplace. If you need health insurance  you can find a plan that fits your budget: http://ofa.bo/f9jX,LER,photo
Share this and make sure your friends have the security of health insurance. http://ofa.bo/v6b,LER,photo
Don't let the deadline pass you by—today's the last day to check out your options for coverage that starts February 1: http://ofa.bo/d5Sn,LER,link
Today  be sure to catch to Vice President Biden as he talks to Organizing for Action supporters about how far we've come and the path ahead in 2016. http://ofa.bo/g9dW,LER,link
New year  new you? Check out your options and start this year off on the right foot. http://ofa.bo/j9Wp,LER,link
FINAL CHANCE: Time's running out to support the fight for progress in 2016. Chip in by midnight. http://ofa.bo/i9Zm,LER,link
LAST CALL: Today's the last day to enter to win a seven-day cruise to Alaska. http://ofa.bo/d5Mg,LER,link
You and a friend could be taking in this view. All you have to do is enter. http://ofa.bo/c5L5,LER,link
Your bucket list won't complete itself. Here's your chance at a free trip to Alaska. http://ofa.bo/d5MA,LER,link
See mother nature up close. http://ofa.bo/j9Vv,LER,link
Don't miss this once-in-a-lifetime opportunity. http://ofa.bo/d5Ln,LER,photo
Get lost in the beauty of the Last Frontier. Add your name to enter.,LER,link
LAST CHANCE: Don't miss today's deadline. Check out your options today for coverage that begins on January 1st. http://ofa.bo/f9ZP,LER,link
Here's your chance to take in the beauty of Alaska—and recommit to the fight for climate action. Enter now: http://ofa.bo/e5Ic,LER,link
Nearly 200 countries came together to commit to global action on climate change—show your support: http://ofa.bo/d5LM,LER,link
Get ready for a healthy  happy new year with coverage you can afford. Enroll today: http://ofa.bo/h9g3,LER,link
As the global climate talks continue  don't miss your chance to be part of this historic moment. Here's how you can get involved: http://ofa.bo/e5I7,LER,link
Some people suspected of terrorist activity on the No-Fly List can still legally purchase assault weapons because of a loophole in current laws—but Congress can change that.  Add your name to show your support for closing this dangerous loophole: http://ofa.bo/a5N5,LER,link
If you want to be covered on January 1st  be sure to check out your options and enroll by December 15th. http://ofa.bo/s9WV,LER,link
While you're recovering from that Thanksgiving meal  check out your options: http://ofa.bo/r9X9,LER,link
You could be saving money. Check out your options today: http://ofa.bo/d5It,LER,link
You may be able to save money on your health insurance. Check out your options today: http://ofa.bo/d5I1,LER,link
Make sure you shop around to get the best plan possible: http://ofa.bo/g9T6,LER,link
Take some time and check out your options today. http://ofa.bo/s9UO,LER,link
Time to shop around. http://ofa.bo/f9VC,LER,link
Health care enrollment is back. Make sure you're getting the best deal: http://ofa.bo/r9Vj,LER,link
Join the team spreading the truth about the issues of the day: ofa.bo/s9Tv,LER,link
DEADLINE: It's your last chance to make a big play. Show your support. http://ofa.bo/d5FK,LER,link
You and a friend could be headed to D.C. this fall. (The company's guaranteed to be good.)  Enter now: http://ofa.bo/r9Sn,LER,link
The clock's ticking—chip in before the big fundraising deadline. http://ofa.bo/f9SS,LER,link
You could meet President Obama this fall. Enter now: http://ofa.bo/t9NY,LER,link
Start working on your entrance. Here's your chance to meet the President: http://ofa.bo/j9Nc,LER,link
Fall leaves. Sunglasses. President Obama. Enter for your chance to meet the Commander-in-Chief. http://ofa.bo/g9Ph,LER,link
Here's your chance to have President Obama welcome you with open arms: http://ofa.bo/g9PX,LER,link
Get fixed up to the nines—you could be meeting the President this fall. http://ofa.bo/j9Mz,LER,link
Tomorrow is your last chance to let the Department of Labor know that you support stronger overtime protections. http://ofa.bo/d55r,LER,link
Your chance to win a free trip to Hawaii ends soon. Don't miss it: http://ofa.bo/p8iJ,LER,link
Say aloha to Hawaii: http://ofa.bo/s8c1,LER,link
Love just won.,HER,photo
See how the President's immigration action will grow the economy in New York: http://ofa.bo/a2ZM,LER,link
In 2015  which issue matters most to you? http://ofa.bo/h29F,LER,link
Get prepared for the cold months ahead. Get covered today: http://ofa.bo/h23A,LER,link
Make sure you have health insurance on January 1st: http://ofa.bo/e1vl,LER,link
TOMORROW: Let's do this. http://ofa.bo/g1Yi,LER,link
"Let us pause and give thanks for the fact that Nelson Mandela lived—a man who took history in his hands and bent the arc of the moral universe toward justice." —President Obama,HER,photo
Thank you.,HER,photo
Four more years.,HER,photo
The new Obama family portrait!,HER,photo
Amanda  from Philadelphia  Pennsylvania. Vote for this poster here: http://ofa.bo/6afYba,LER,photo
Estelle  from Fairhope  Alabama. Vote for this poster here: http://ofa.bo/jgy1UN,LER,photo
Terry  from Baldwin Park  California. Vote for this poster here: http://ofa.bo/yuhjgJ,LER,photo
Katie  from Coraopolis  Pennsylvania. Vote for this poster here: http://ofa.bo/B9fX6Q,LER,photo
Ariana  from Salt Lake City  Utah. Vote for this poster here: http://ofa.bo/vyDXdM,LER,photo
Edgar  from El Paso  Texas. Vote for this poster here: http://ofa.bo/ZqeAe5,LER,photo
Julie  from Seattle  Washington. Vote for this poster here: http://ofa.bo/aLSg4R,LER,photo
Tom  from Stone Ridge  New York. Vote for this poster here: http://ofa.bo/ZQNYCX,LER,photo
Jeff  from Tulsa  Oklahoma. Vote for this poster here: http://ofa.bo/BprvTs,LER,photo
Steve  from Boulder  Colorado. Vote for this poster here: http://ofa.bo/kdtUWc,LER,photo
Craig  from Reston  Virginia. Vote for this poster here: http://ofa.bo/1Ar8GS,LER,photo
Lauren  from Worthington  Ohio. Vote for this poster here: http://ofa.bo/wB21z4,LER,photo
Show your support for President Obama and Vice President Biden in this classic t-shirt: http://OFA.BO/xXEqx4,LER,photo
Show your Obama 2012 pride while holiday shopping at the mall or just driving around town: http://OFA.BO/SFgLAs,LER,photo
Having guests over for a holiday party? Protect your tabletops and show your Obama pride with our coaster set: http://OFA.BO/zRGSmy,LER,photo
Our crew sweatshirt looks good with jeans or leggings: http://OFA.BO/MriGJb,LER,photo
Show your support wherever you go with a rising sun messenger bag: http://OFA.BO/KPUebi,LER,photo
Our red  white  and blue supporter pack has buttons  bumper stickers  and a car magnet. Pick them up as stocking stuffers for the big Obama fan in your life: http://OFA.BO/Z3iuQT,LER,photo
Keep your keys handy with our Obama 2012 keychain—a good stocking stuffer: http://ofa.bo/pUuuWR,LER,photo
Bundle up young Obama fans in 100% cotton with our Kids for Obama t-shirts: http://OFA.BO/TyskzW,LER,photo
Complete your mug collection with our Made in the USA mug: http://ofa.bo/QasGoZ,LER,photo
Don’t forget about your best four-legged friend this season with our "Barack’s best friend" leash: http://OFA.BO/eCf3ng,LER,photo
Every coffee break is a chance to show your support with our 2012 coffee tumbler: http://OFA.BO/wN6tvz,LER,photo
Ring in the New Year with our 2012 wine glasses: http://ofa.bo/z5TxoE,LER,photo
Our limited edition 2012 ornament will stand out on your Christmas tree: http://OFA.BO/E6jt1D,LER,photo
Everyone loves a comfortable hoodie—here’s our new Obama 2012 zip-up.,LER,link
Keep your furniture happy and let your guests know who you’re behind next November with an Obama 2012 coaster set. http://ofa.bo/iXLn1M,LER,photo
Make a statement by throwing an Obama 2012 mini–button on your shirt or backpack. http://OFA.BO/DieL2o,LER,photo
You want to stay warm this winter  but your cans never should. Cheers! Made in the USA. http://OFA.BO/iTuydm,LER,photo
Bundle up for your next campaign event in a cozy grey 2012 hoodie  made in the USA. http://OFA.BO/TpigBi,LER,photo
Wear your Obama flair loud and proud. Our Obama/Biden button combo is made in the USA. http://ofa.bo/xgETET,LER,photo
Follow the First Lady’s example and get moving in this new American-made 2012 warm-up jacket. http://ofa.bo/qikDm4,LER,photo
Canvassers Stephanie and Samantha gearing up in Las Cruces  New Mexico,LER,photo
Volunteers wind down after a hard day’s work of organizing in East Shelby  TN,LER,photo
What Obama 2012 gear are you wearing to mark one year out?,LER,photo
Volunteer Eileen B. calling voters across NM: "People are supportive  they want the Jobs Act Now!",LER,photo
A Wash U student registers voters,LER,photo
Albuquerque volunteer Anthony T. calling volunteers: "People are excited  they are signing up to volunteer left and right!",LER,photo
Register to vote,LER,photo
Geaux Obama means Go Obama,LER,photo
For your next tailgate or BBQ  make sure you're fired up and ready to grill. http://OFA.BO/afoiki,LER,photo
Make every walk around the block an opportunity to show you (and your dog) are in for 2012. http://OFA.BO/zebV9a,LER,photo
Pin on an official 2012 campaign button. http://OFA.BO/2L8gQ4,LER,photo
Show your support while you're on the move with a 2012 car magnet. http://OFA.BO/5RhMDN,LER,photo
Sport this particularly patriotic button and you’ll be showing your support for the President wherever you go. http://OFA.BO/otfUki,LER,photo
Throwing a house party? Want plenty of bumper stickers to hand out to supporters in your community? This supporter pack is perfect for you! It includes five bumper stickers  five pins  and one placard. http://OFA.BO/bp2Ao5,LER,photo
Make a statement (fashion and otherwise) with our 2012 logo pin. Made in America. http://OFA.BO/DZTEG7,LER,photo
Take your support to the ballpark and everywhere else with one of our new 2012 hats. Made in America.  http://OFA.BO/JhqPES,LER,photo
Quote of the day: “As we celebrate the legacy of those who made enormous strides in the last century and before  we renew our commitment to hold true to the dreams for which they fought  and we look forward to a bright future for our nation's daughters.” – President Obama  in a proclamation for Women’s Equality Day. Join us at Women for Obama for a discussion of what women's equality means in the 21st century.,LER,status
White House Town Hall—Atkinson  Illinois 08.17.11,LER,photo
White House Rural Economic Forum—Pesota  Iowa 08.16.11,LER,photo
Iowa 08.16.11,LER,photo
White House Town Hall—Atkinson  Illinois 08.17.11,LER,photo
White House Rural Economic Forum—Pesota  Iowa 08.16.11,LER,photo
White House Town Hall—Atkinson  Illinois 08.17.11,LER,photo
Iowa 08.16.11,LER,photo
White House Town Hall—Atkinson  Illinois 08.17.11,LER,photo
White House Town Hall—Atkinson  Illinois 08.17.11,LER,photo
Mentions of corporations  reality shows  and being "anti-chicken"? Lots. Mentions of the middle class? Zero. Check out our infographic breaking down what the Republican presidential candidates have said in the GOP debates so far—and make sure to share it with anyone who cares about strengthening the middle class.,LER,link
The audience at an LGBT Obama 2012 campaign event in New York City.,LER,photo
Councilman Joel Burns  from Fort Worth  Texas  tells his "It Gets Better" story to the audience at an LGBT Obama 2012 campaign event in New York City.,LER,photo
Former Representative Patrick Joseph Murphy addresses the audience at an LGBT Obama 2012 campaign event in New York City.,LER,photo
Broadway star Audra McDonald entertains the audience at an LGBT Obama 2012 campaign event in New York City.,LER,photo
Speaker of the New York City Council Christine Quinn talks about her experiences at an LGBT Obama 2012 campaign event.,LER,photo
Pride—OFA Indiana  June 2011,LER,photo
Pride—OFA Washington D.C.  June 2011,LER,photo
Pride—OFA Michigan  June 2011,LER,photo
Pride—OFA Colordao  June 2011,LER,photo
Pride—OFA Washington D.C.  June 2011,LER,photo
Pride—OFA Washington D.C.  June 2011,LER,photo
Pride—OFA Colordao  June 2011,LER,photo
