Source (A)	Source (B)	Source (C)	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	affect	posemo	negemo	anx	anger	sad	cogproc	insight	cause	discrep	tentat	certain	differ	see	hear	feel	drives	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Suit up! We're making racing style easy with our picks for the perfect pieces for a stylish look. #HMLOVESSPRINGRACING  See more: http://hm.info/111z4	LER	photo	27	99.00	93.07	1.22	99.00	9.00	11.11	7.41	7.41	0.00	0.00	0.00	0.00	14.81	3.70	7.41	0.00	0.00	3.70	0.00	7.41	0.00	0.00	14.81	7.41	0.00	3.70	3.70	0.00	0.00	11.11	0.00	7.41	0.00	0.00	3.70
#HMLOVESSPRINGRACING star Andy Allen looking dapper as anything in his H&M suit!   Shop your racing season look in-store: http://hm.info/110hb	LER	photo	25	88.07	88.48	6.70	25.77	12.50	12.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	4.00	0.00	0.00	4.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	8.00	0.00	0.00	4.00
A little bit of Beckham Bodywear for your Friday night!  See the collection: http://hm.info/10yvp	LER	photo	18	99.00	86.68	58.07	25.77	9.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	5.56	5.56	0.00	0.00	0.00	0.00	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	0.00	5.56	0.00	0.00	5.56
On set with Charlotte Best and Andy Allen for #HMLOVESSPRINGRACING! Shop their race ready looks in-store now!   See the collection: http://hm.info/10xiy	LER	video	26	97.77	64.99	17.46	99.00	8.67	11.54	7.69	7.69	0.00	0.00	0.00	0.00	3.85	3.85	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	3.85	0.00	3.85	3.85	3.85	0.00	0.00	11.54	0.00	7.69	0.00	0.00	7.69
Who's planning another day full of sand and surf tomorrow? Step into store for some stylish spring essentials before you hit the beach!   Find us: http://hm.info/10vjz	LER	video	30	92.84	95.20	98.01	25.77	10.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	10.00	6.67	0.00	0.00	3.33	0.00	0.00	0.00	0.00	3.33	6.67	3.33	3.33	0.00	0.00	0.00	0.00	6.67	0.00	3.33	0.00	3.33	3.33
Up your beach game with our swimwear range! Plus  shop one top and one bottom for $15 on marked items  in-store now!	LER	photo	23	96.18	98.44	94.19	25.77	11.50	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.09	8.70	4.35	13.04	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70
Start your spring with beautiful boho looks  - what would you add to your wardrobe? hm.com/au/spring-fashion	LER	photo	19	63.17	99.00	4.05	97.58	9.50	15.79	5.26	5.26	0.00	0.00	0.00	0.00	5.26	0.00	0.00	5.26	0.00	0.00	0.00	10.53	0.00	0.00	5.26	0.00	0.00	0.00	5.26	0.00	0.00	5.26	0.00	5.26	0.00	5.26	0.00
David Beckham and Kevin Hart? Surely not? Modern Essentials #SelectedByBeckham #Twins #hm	LER	video	12	60.80	4.80	23.51	99.00	4.00	25.00	8.33	8.33	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	0.00	8.33	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	8.33	0.00	16.67	0.00
Want the scoop on #HMBALMAINATION? Catch our final interview with Olivier Rousteing of Balmain on #HMLife here: hm.info/10omh.  Collection hits select Aussie stores November 5!	LER	photo	27	98.75	86.68	33.94	25.77	9.00	25.93	0.00	0.00	0.00	0.00	0.00	0.00	7.41	3.70	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	3.70	3.70	0.00	0.00	0.00	0.00	0.00	11.11	0.00	11.11	0.00	3.70	3.70
Are you a tan pants fan? Plan your weekend escape with the perfect outfit. Think crisp white shoes and navy accessories!  Get style tips: http://hm.info/10mb5	LER	photo	30	88.98	90.87	10.08	84.54	7.50	10.00	3.33	3.33	0.00	0.00	0.00	0.00	10.00	6.67	0.00	0.00	0.00	3.33	0.00	3.33	0.00	0.00	16.67	0.00	3.33	0.00	10.00	3.33	0.00	6.67	0.00	3.33	0.00	3.33	3.33
Mondays inspired by Marcia from Not So Mumsy looking amazing in her 70's inspired look from our #HMStudioAW15 collection!  See her outfit post: http://hm.info/10kkg	LER	photo	29	83.44	75.49	26.55	99.00	14.50	24.14	10.34	10.34	0.00	0.00	0.00	0.00	13.79	10.34	0.00	0.00	0.00	0.00	3.45	10.34	0.00	0.00	3.45	3.45	0.00	0.00	0.00	0.00	0.00	10.34	0.00	6.90	0.00	0.00	3.45
#HMStudioAW15 is all about 60s futurism  oversized silhouettes and sporty skiwear. What piece catches your eye? http://hm.info/10k4b	LER	photo	22	56.58	81.84	2.40	25.77	7.33	27.27	0.00	0.00	0.00	0.00	0.00	0.00	9.09	4.55	0.00	0.00	0.00	4.55	0.00	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.64	0.00	9.09	0.00	4.55	0.00
Four steps to the perfect weekend outfit inspired by the seventies  in-store now!   Find us: http://hm.info/10jr8	LER	photo	22	99.00	81.84	96.40	99.00	11.00	18.18	9.09	9.09	0.00	0.00	0.00	0.00	18.18	13.64	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	9.09	4.55	0.00	0.00	4.55	0.00	0.00	9.09	0.00	4.55	0.00	0.00	4.55
Dropping tomorrow: #HMStudioAW15! The leather dungaress are one of supermodel Edie's most coveted pieces. What's on top of your wishlist?   See the collection: http://hm.info/10hhw	LER	photo	28	95.70	76.25	13.15	25.77	7.00	32.14	0.00	0.00	0.00	0.00	0.00	0.00	7.14	3.57	0.00	0.00	3.57	0.00	0.00	3.57	0.00	3.57	3.57	0.00	3.57	3.57	0.00	0.00	0.00	10.71	0.00	7.14	0.00	3.57	3.57
Our outfit inspiration for today is Talisa Sutton of Badlands Blog in our #HMStudioAW15 collection which drops this Thurs 10th September!	LER	photo	21	78.35	97.14	68.01	95.81	21.00	23.81	4.76	4.76	0.00	0.00	0.00	0.00	4.76	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.52	9.52	0.00	0.00	0.00	0.00	0.00	4.76	0.00	4.76	0.00	0.00	4.76
Something special has landed in our windows! What could it be? Stay tuned! #HMStudio	LER	photo	14	5.53	92.33	1.06	99.00	3.50	28.57	7.14	7.14	0.00	0.00	0.00	0.00	14.29	0.00	0.00	7.14	7.14	0.00	0.00	0.00	0.00	0.00	7.14	7.14	0.00	0.00	0.00	0.00	0.00	7.14	0.00	7.14	0.00	7.14	14.29
Go ahead  make Dad's day! Head in store for some last minute Father's Day goodies to spoil him with!   Find us: http://hm.info/10fjn	LER	photo	26	98.86	97.24	94.81	25.77	8.67	7.69	0.00	0.00	0.00	0.00	0.00	0.00	15.38	7.69	3.85	0.00	3.85	0.00	0.00	0.00	0.00	0.00	7.69	3.85	3.85	0.00	0.00	0.00	0.00	7.69	0.00	3.85	0.00	0.00	7.69
We love Emily of She Does Style in her #HMAustralia knit paired with perfect delicate jewellery and a killer belt!	LER	photo	20	86.59	99.00	1.00	99.00	20.00	20.00	20.00	15.00	5.00	0.00	5.00	0.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	15.00	10.00	0.00	0.00	5.00	0.00	0.00	5.00	0.00	5.00	0.00	0.00	5.00
Blogger Jenelle from Inspiring Wit shows us how to rock the long sleeved LBD!   See more! http://hm.info/10d3s	LER	photo	22	92.84	81.84	11.00	94.75	7.33	18.18	4.55	4.55	0.00	0.00	0.00	0.00	13.64	9.09	4.55	0.00	0.00	0.00	0.00	9.09	0.00	0.00	4.55	4.55	0.00	0.00	0.00	0.00	0.00	9.09	0.00	4.55	0.00	0.00	9.09
Find the perfect gift to treat Dad and make his day the best yet!  Find his present in store: http://hm.info/10auw	LER	photo	24	92.84	89.42	48.89	99.00	12.00	8.33	12.50	12.50	0.00	0.00	0.00	0.00	20.83	12.50	4.17	0.00	0.00	4.17	0.00	0.00	0.00	0.00	8.33	0.00	4.17	4.17	8.33	0.00	0.00	8.33	0.00	4.17	0.00	0.00	4.17
Last chance to win! Find your denim fit by taking our quiz and you'll go into the running to win one of seven $100 gift cards to update your denim wardrobe! http://bit.ly/HMDENIMFIT	LER	photo	36	95.17	98.62	39.76	98.27	12.00	8.33	5.56	5.56	0.00	0.00	0.00	0.00	5.56	2.78	0.00	0.00	2.78	0.00	0.00	0.00	0.00	0.00	11.11	2.78	5.56	5.56	8.33	0.00	0.00	5.56	0.00	2.78	0.00	0.00	5.56
Our golden rule when it comes to denim is finding that perfect fit!   Take our quiz to find your fit and go in the running to win one of seven $100 gift cards! http://bit.ly/HMDENIMFIT	LER	photo	38	81.60	94.27	67.26	97.58	12.67	10.53	5.26	5.26	0.00	0.00	0.00	0.00	7.89	5.26	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	15.79	5.26	2.63	5.26	7.89	0.00	0.00	5.26	0.00	2.63	0.00	0.00	5.26
We're getting serious wanderlust from blogger Brooke Testoni who is roaming Europe in her #HMAustralia dress!   See the post: http://hm.info/108ng	LER	photo	24	87.83	95.20	1.79	1.00	12.00	29.17	4.17	0.00	4.17	0.00	0.00	0.00	4.17	4.17	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	8.33	4.17	0.00	0.00	4.17	0.00	0.00	12.50	0.00	8.33	0.00	0.00	4.17
Hit refresh on your wardrobe with updates on old faves. Our pick is luxe looking wet-looking denim for a subtle edge to any outfit!  See more next-level looks: http://hm.info/1067v	LER	photo	35	98.08	87.34	62.17	25.77	11.67	14.29	0.00	0.00	0.00	0.00	0.00	0.00	8.57	2.86	2.86	0.00	2.86	0.00	0.00	11.43	0.00	2.86	2.86	2.86	0.00	0.00	0.00	0.00	0.00	5.71	0.00	2.86	0.00	0.00	2.86
Guys  stock up your wardrobe on style staples like our easy-iron shirt  for only $19.95!   Find us: http://hm.info/1067p	LER	photo	23	92.84	99.00	27.39	93.61	11.50	8.70	4.35	4.35	0.00	0.00	0.00	0.00	8.70	8.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.04	8.70	0.00	4.35	0.00	0.00	0.00	8.70	0.00	4.35	0.00	0.00	4.35
It's Deal of The Week time! Our pick is all about these bombers for the perfect wardrobe update!  See this week's deals: http://bit.ly/HMDEAL	LER	photo	27	82.52	77.05	15.12	88.52	9.00	11.11	3.70	3.70	0.00	0.00	0.00	0.00	11.11	0.00	3.70	0.00	0.00	7.41	0.00	3.70	0.00	0.00	7.41	3.70	0.00	0.00	3.70	0.00	0.00	7.41	0.00	3.70	0.00	0.00	7.41
This classic tee in perfect prints and colours! Snap it up in-store now!	LER	photo	14	83.00	50.00	89.63	99.00	7.00	21.43	7.14	7.14	0.00	0.00	0.00	0.00	7.14	0.00	0.00	0.00	0.00	7.14	0.00	7.14	0.00	0.00	14.29	0.00	0.00	7.14	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29
One for you  one for your bestie! Snap up our comfortably chic leggings with our 2 for $10 offer in store now!  Find us:http://hm.info/zs5d	LER	photo	29	92.84	99.00	26.55	99.00	9.67	6.90	6.90	6.90	0.00	0.00	0.00	0.00	6.90	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.79	10.34	0.00	3.45	0.00	0.00	0.00	6.90	0.00	3.45	0.00	0.00	6.90
Shop a new wardrobe for the kids! Our latest range is all about functional wear for windy days  playful times and new adventures!   See the collection: http://hm.info/zzp6	LER	photo	31	97.26	83.34	39.18	99.00	10.33	16.13	6.45	6.45	0.00	0.00	0.00	0.00	6.45	3.23	0.00	0.00	0.00	3.23	0.00	3.23	0.00	0.00	6.45	3.23	0.00	0.00	3.23	0.00	0.00	6.45	0.00	6.45	0.00	0.00	6.45
Top off your look with an on point fedora! Which colour would you choose?	LER	photo	14	92.84	99.00	89.63	25.77	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.29	7.14	0.00	7.14	0.00	0.00	0.00	14.29	0.00	0.00	7.14	0.00	7.14	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.14	7.14
W is for weekend  bring on Saturday!  http://hm.info/zxmn	LER	photo	12	98.02	50.00	99.00	25.77	6.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	8.33	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.67	0.00	8.33	0.00	0.00	8.33
We're big fans of fringe this season! Especially this look on Melbourne blogger Draw Dress Dream! #HMFashion http://hm.info/zwxt	LER	photo	22	79.25	81.84	31.94	25.77	7.33	18.18	0.00	0.00	0.00	0.00	0.00	0.00	9.09	4.55	0.00	0.00	0.00	4.55	0.00	4.55	0.00	0.00	9.09	4.55	0.00	4.55	0.00	0.00	0.00	13.64	0.00	9.09	0.00	0.00	9.09
Make your suit modern with fresh  printed shirts and crisp white shoes! http://hm.info/zwqf	LER	photo	17	85.18	88.03	6.20	25.77	8.50	5.88	0.00	0.00	0.00	0.00	0.00	0.00	11.76	5.88	5.88	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.76	0.00	5.88	0.00	0.00	5.88
"I really love the black dress. It feels really comfortable and looks amazing when I move!" - Florrie. Shop our #HMLovesMusic collection in store now! http://hm.info/zuhn	LER	video	29	30.64	36.51	98.71	99.00	5.80	17.24	10.34	10.34	0.00	0.00	0.00	0.00	13.79	6.90	0.00	0.00	0.00	0.00	6.90	6.90	0.00	3.45	6.90	6.90	0.00	0.00	0.00	0.00	0.00	10.34	0.00	6.90	0.00	0.00	6.90
When you want to look smart  finding the perfect outfit can be challenging. Check our style guide for inspiration and have confidence in every choice you make. http://hm.info/zr6l	LER	photo	32	63.62	96.95	18.52	99.00	10.67	15.62	15.62	15.62	0.00	0.00	0.00	0.00	28.12	12.50	3.12	3.12	0.00	9.38	0.00	3.12	0.00	0.00	12.50	3.12	6.25	3.12	6.25	0.00	0.00	6.25	0.00	3.12	0.00	0.00	0.00
Which look are you? Pastel princess or monochrome maven?   Shop sweater essentials in store now: http://hm.info/zjtk	LER	photo	20	51.43	84.14	43.37	25.77	6.67	20.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	5.00	0.00	0.00	5.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	5.00	0.00	10.00	0.00
Get active! Out latest collection for kids is all about adding colour to slam dunks  bold pirouettes and fun times! http://hm.info/znri	LER	photo	25	95.99	65.56	20.24	99.00	8.33	8.00	12.00	12.00	0.00	0.00	0.00	0.00	8.00	4.00	0.00	0.00	0.00	4.00	0.00	4.00	0.00	0.00	12.00	0.00	0.00	0.00	12.00	0.00	0.00	8.00	0.00	4.00	0.00	0.00	8.00
Ideal outfit situation! The perfect knit paired with leather pants. Would you wear the look?	LER	photo	15	97.34	90.87	1.00	99.00	5.00	20.00	13.33	13.33	0.00	0.00	0.00	0.00	20.00	0.00	0.00	13.33	0.00	6.67	0.00	6.67	0.00	6.67	13.33	0.00	6.67	0.00	6.67	0.00	0.00	0.00	0.00	0.00	0.00	6.67	6.67
Our weekend fitspo comes from the amazing Jasmin of Friend in Fashion working our latest Sport collection in store now.  Check out her blog post here: http://hm.info/zkcv	LER	photo	31	95.47	97.31	78.86	83.22	15.50	16.13	3.23	3.23	0.00	0.00	0.00	0.00	3.23	3.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.90	9.68	3.23	0.00	0.00	0.00	0.00	6.45	0.00	3.23	0.00	0.00	0.00
Cosy up this weekend with warm knits in chic monotones!	LER	photo	10	99.00	50.00	93.30	99.00	10.00	20.00	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	10.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00
We're all about that stripe this week!   Shop your #OOTD in store now! Find us: http://hm.info/zi3b	LER	photo	20	37.39	99.00	74.76	25.77	6.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	10.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	10.00	10.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	5.00	0.00	0.00	10.00
The hoodie is an essential classic when it comes to casualwear. Pair it with prints or add denim for a fail safe outfit!  Find your nearest store: http://hm.info/zhlx	LER	photo	32	89.26	62.28	35.37	25.77	10.67	12.50	6.25	3.12	3.12	0.00	0.00	3.12	12.50	6.25	0.00	0.00	3.12	3.12	3.12	0.00	0.00	0.00	9.38	0.00	3.12	3.12	3.12	6.25	0.00	6.25	0.00	3.12	0.00	0.00	3.12
School's out! Sort out the kids with a new fun and fresh wardrobe with our new season collection in store now!	LER	photo	21	99.00	92.33	98.01	95.81	10.50	14.29	4.76	4.76	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	4.76	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.52
There's nothing better for your wardrobe than the perfect  versatile shirt!   Update your look at your closest store: http://hm.info/zgk2	LER	photo	23	80.03	95.89	54.89	99.00	11.50	21.74	8.70	8.70	0.00	0.00	0.00	0.00	17.39	4.35	0.00	0.00	0.00	8.70	4.35	4.35	0.00	0.00	8.70	0.00	4.35	0.00	8.70	0.00	0.00	8.70	0.00	4.35	0.00	0.00	4.35
Update your threads and stay on point with classic pieces from our new season drop!   Find us: http://hm.info/zg8a	LER	photo	22	87.28	99.00	99.00	25.77	11.00	9.09	0.00	0.00	0.00	0.00	0.00	0.00	9.09	9.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	9.09	0.00	0.00	0.00	0.00	0.00	9.09	0.00	4.55	0.00	0.00	4.55
Knits paired with faux leather is a winning combo! Shop on point knits from $29.95  which would you rock?  Find us: http://hm.info/zfoj	LER	photo	26	88.28	93.79	5.76	89.84	8.67	7.69	3.85	3.85	0.00	0.00	0.00	0.00	11.54	7.69	0.00	3.85	0.00	0.00	0.00	0.00	0.00	3.85	7.69	3.85	3.85	3.85	3.85	0.00	0.00	7.69	0.00	3.85	0.00	3.85	3.85
Have you shopped our sale yet? Stock up on our edit of toasty winter warmers on sale now.   Head in-store for more before they sell out!	LER	photo	27	95.79	99.00	98.01	25.77	9.00	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.11	7.41	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.70	3.70
Get to know Balmain's Creative Director Olivier Rousteing and hear his thoughts about the exclusive collaboration. Watch the interview below!   http://hm.info/z8l7	LER	video	25	97.89	88.48	6.70	91.14	8.33	36.00	4.00	4.00	0.00	0.00	0.00	0.00	16.00	12.00	4.00	0.00	0.00	0.00	0.00	4.00	4.00	0.00	20.00	4.00	4.00	8.00	4.00	0.00	0.00	8.00	0.00	4.00	0.00	0.00	4.00
Suit up and stay sharp with our modern twist on classic tailoring for an on point evening look.   See more: http://hm.info/z3ad	LER	photo	25	99.00	78.82	99.00	25.77	12.50	12.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	4.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	4.00	8.00	4.00	0.00	4.00	0.00	0.00	0.00	8.00	0.00	4.00	0.00	0.00	0.00
Brighten up your winter wardrobe with glamorous shades of midnight blue  a touch of sequin sequins and fluffy faux fur!  See more: http://hm.info/z2ok	LER	photo	27	98.75	77.05	4.97	88.52	13.50	18.52	3.70	3.70	0.00	0.00	0.00	0.00	3.70	3.70	0.00	0.00	0.00	0.00	0.00	7.41	0.00	3.70	3.70	0.00	0.00	3.70	0.00	0.00	0.00	7.41	0.00	3.70	0.00	0.00	3.70
Get graphic with blazers and printed shirts for this season. We're updating your classic wardrobe staples with a modern twist. Shop your next outfit in store now!  See the collection: http://hm.info/yyqo	LER	photo	35	92.84	95.65	62.17	25.77	8.75	22.86	0.00	0.00	0.00	0.00	0.00	0.00	2.86	2.86	0.00	0.00	0.00	0.00	0.00	5.71	0.00	0.00	5.71	2.86	0.00	0.00	2.86	0.00	0.00	5.71	0.00	2.86	0.00	0.00	2.86
Warm up in style! Discover the best of our accessories for winter to update your look for this season!  Find your store: http://hm.info/ys2n	LER	photo	27	98.75	98.62	92.47	99.00	9.00	7.41	7.41	7.41	0.00	0.00	0.00	0.00	11.11	11.11	0.00	0.00	0.00	0.00	0.00	3.70	0.00	3.70	14.81	3.70	3.70	7.41	7.41	0.00	0.00	7.41	0.00	3.70	0.00	0.00	7.41
If you haven't bought something for Mum yet  check out our gift guide for some shopping inspiration and get in before this Sunday!   Find us: http://hm.info/ys2n	LER	photo	30	60.80	90.87	93.30	84.54	15.00	10.00	3.33	3.33	0.00	0.00	0.00	0.00	23.33	10.00	0.00	3.33	10.00	0.00	6.67	0.00	0.00	0.00	10.00	6.67	0.00	0.00	3.33	0.00	0.00	6.67	0.00	3.33	0.00	0.00	3.33
Whites and soft pastel pinks make for a winning combo! We love this look shot by Stylebk. featuring Nicci Coo!   See the blog: http://hm.info/yrnr	LER	photo	28	95.70	85.81	1.00	99.00	7.00	10.71	7.14	7.14	0.00	0.00	0.00	0.00	7.14	3.57	3.57	0.00	0.00	0.00	0.00	7.14	0.00	3.57	10.71	7.14	3.57	3.57	3.57	0.00	0.00	7.14	0.00	3.57	0.00	0.00	7.14
Time to get your shop on with this week's #DealOfTheWeek across ladies  mens and kids! Don't miss out!  See the deals: http://bit.ly/HMDEAL	LER	photo	26	95.89	93.79	38.39	1.00	8.67	3.85	3.85	0.00	3.85	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	3.85	0.00	0.00	0.00	3.85	0.00	0.00	7.69	0.00	3.85	0.00	0.00	7.69
Our must-have of the week is this cold weather staple  only $29.95 in store now!   Find us: http://bit.ly/1ILISCS	LER	photo	23	46.46	95.89	9.25	25.77	11.50	8.70	0.00	0.00	0.00	0.00	0.00	0.00	8.70	4.35	0.00	4.35	0.00	4.35	0.00	0.00	0.00	4.35	8.70	8.70	0.00	0.00	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	4.35
Oracle Fox shows us how it's done wearing the perfect #HMConciousExclusive tuxedo in Paris. Shop her look in store from this Thursday 16th!  See the blog: http://bit.ly/1DDhF5d	LER	photo	32	78.67	82.58	1.00	81.93	10.67	12.50	3.12	3.12	0.00	0.00	0.00	0.00	6.25	0.00	3.12	0.00	0.00	3.12	0.00	9.38	0.00	0.00	6.25	3.12	0.00	0.00	3.12	0.00	0.00	6.25	0.00	3.12	0.00	0.00	3.12
#HMConsciousExclusive is a collection that will show the many ways of working with more sustainable material  and a way to offer fashion with added value to our customers. In stores this Thursday 16th April!	LER	photo	34	98.15	81.12	6.20	79.41	17.00	23.53	2.94	2.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.94	0.00	0.00	8.82	2.94	2.94	0.00	2.94	0.00	0.00	2.94	0.00	2.94	0.00	0.00	2.94
Casual classic knits for your Sunday. Have you started update your cold weather wardrobe. http://bit.ly/1aEizTQ	LER	photo	19	63.17	99.00	19.27	25.77	6.33	26.32	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00
I'm with the band! Shop fun pieces in store for the kids now!   See more: http://bit.ly/1FsIR3I	LER	photo	21	98.33	68.29	13.15	95.81	7.00	0.00	4.76	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	9.52
Last chance to enter our #HMlovesCoachella competition! Get creative with your entry to WIN a trip to Coachella Weekend 2!  See how to enter: http://bit.ly/HMCOACHELLA	LER	photo	29	97.44	91.60	26.55	99.00	9.67	20.69	6.90	6.90	0.00	0.00	0.00	0.00	10.34	0.00	6.90	0.00	3.45	0.00	0.00	3.45	0.00	0.00	20.69	3.45	10.34	10.34	6.90	0.00	0.00	10.34	0.00	6.90	0.00	0.00	6.90
Keep it simple this season with timeless basics and warm jackets for a foolproof wardrobe. http://bit.ly/1P6SxJ8	LER	photo	22	92.84	50.00	2.40	94.75	11.00	18.18	4.55	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	0.00
Go for a 60's retro style in classic  floral prints and red accents teamed with leopard prints for a rock-chic look!   http://www.hm.com/au/retro-chic	LER	photo	31	99.00	62.65	1.00	25.77	15.50	9.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.45	0.00	0.00	3.23	3.23	3.23	0.00	0.00	0.00	0.00	6.45	0.00	3.23	0.00	0.00	3.23
On set in California enjoying the Coachella vibes and festival style! Our first official festival collection has just launched globally! #HMLovesCoachella.  Plus  hit the link to win one of two trips for two to Coachella! http://bit.ly/HMCOACHELLA	LER	photo	40	98.46	69.14	43.37	99.00	8.00	30.00	10.00	10.00	0.00	0.00	0.00	0.00	5.00	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.50	2.50	5.00	10.00	5.00	0.00	0.00	7.50	0.00	5.00	0.00	0.00	7.50
Have you heard? We're giving away one of two trips for two to Coachella (Weekend 2)! Enter by submitting your #OOTD or a fashion flatlay using at least one piece from the #HMlovesCoachella  which has hit stores worldwide!   Enter now: http://bit.ly/HMCOACHELLA	LER	photo	45	94.76	94.01	29.55	67.75	11.25	17.78	2.22	2.22	0.00	0.00	0.00	0.00	4.44	0.00	2.22	0.00	2.22	0.00	2.22	0.00	2.22	0.00	6.67	2.22	0.00	4.44	0.00	0.00	0.00	6.67	0.00	4.44	0.00	2.22	4.44
Relaxed and comfortable with a stylish edge  we think this classic poplin shirt is a must have for any guy's wardrobe! Especially when it's only $29.95.  See more: http://bit.ly/1y4KW33	LER	photo	35	43.31	80.42	1.00	98.56	11.67	17.14	5.71	5.71	0.00	0.00	0.00	0.00	11.43	2.86	0.00	2.86	2.86	5.71	0.00	2.86	0.00	0.00	2.86	2.86	0.00	0.00	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	2.86
Congratulations to Seamus Rodden - Fitness & Lifestyle Consultant. you were the H&M Style Challenge winner as voted by your fans! We'll present you with your new wardrobe shortly!  The winners of the Mens' Health competition which includes tickets to the Men's Health Man Awards Night and an H&M Voucher are Laura Lambert and Shelley-Ann Rutler! An email is heading your way now! Thanks to everyone that entered and stay tuned for more exciting offers and competitions here on Facebook.	LER	status	81	82.52	99.00	7.47	99.00	13.50	25.93	7.41	7.41	0.00	0.00	0.00	0.00	1.23	0.00	0.00	0.00	0.00	1.23	0.00	0.00	0.00	0.00	11.11	2.47	7.41	4.94	4.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.94
