Make a Father's Day card  http://play.powerhousemuseum.com/make-and-do/special-occasions/make-fathers-day-cards/  Find other Father's Day gifts and activities here http://play.powerhousemuseum.com/make-and-do/special-occasions/,LER,photo
This photograph is one of about fifty taken by the young Hedda Morrison at the Stuttgart folk festival in 1931. The photographer’s interest in the careful... More,LER,link
This is another image from the Rousel Studios Archive Collection. This one dates from the 1930s and shows an advertisement for gas ovens painted on... More,LER,link
This photograph shows another advertising billboard designed by Rousel Studios for Holeproof Hosiery. The previous billboard relied almost entirely on a stylised image of a... More,LER,link
The 1921-22 Australian rugby league tour of Great Britain coincided with a peaking in the popularity of the game in northern England on the back... More,LER,link
This photograph from the Tom Lennon photographic archive collection shows an unknown dance band in the 1930s at an unknown venue. The radiating geometry of... More,LER,link
This photograph from the Tyrrell collection shows the suspension foot bridge connecting Avenue Road to Park Avenue over Reid Park  Mosman. The image is taken... More,LER,link
Say hello to Studio Pop-ups  where you can get up close and personal with designers and their creative process! Thursday 15 to Sunday 18 August  10am to 5pm Tickets: free with Museum entry   Everybody knows about the Powerhouse Museum’s Young Blood markets which were launched in 2005 as part of Sydney Design. It was one of the first designer markets in Sydney and the only design market which was presented in a vibrant museum setting. Markets are an important launch pad for emerging designers but as a museum dedicated to ‘unpacking’ design in all its manifestations  we now feel its time to crank it up a notch and give you the chance to see inside a designer’s studio.   Studio Pop-ups will continue to support the work of local designers whilst offering you a deeper and more meaningful experience with the design process. Discover how a jeweller makes each piece  learn about contemporary technologies  processes  systems and equipment and find out first hand what motivates and inspires designers or hear about changes in their field.   Studio Pop-ups presents ten carefully selected design studios – as pop ups. Designers are selling their products and also offering you the chance to see how it’s done. Each studio is housed in a specially-designed pop up stall located inside the Museum. Studio Pop-ups is the perfect opportunity to be a part of the design conversation and to learn more about the design process. Where else can you buy your favourite designer’s work  have a go at the creative process yourself and go home with a deeper knowledge and understanding of how it was made?  http://www.sydneydesign.com.au/2013/event/studio-pop-ups-3/,LER,link
This photograph from the Tyrrell collection shows some model yacht enthusiasts sailing their craft in Centennial Park. Model yacht sailing was a popular leisure activity... More,LER,link
This image from Kerry & Co shows a ‘million dollar’ view of Sydney Harbour and the city taken from Lavender Bay  probably in the... More,LER,link
‘The revolution is not an apple that falls when it is ripe. You have to make it fall’. Che Guevara Computing devices are now so ensconced in our lives that the notion of being deprived of one of these devices is seen as a removal of liberty. The loss …,LER,link
We have been busy in our photography studio recently photographing the Collette Dinnigan collection including this beautiful slip dress of fine silk gauze handstitched with black... More,LER,link
This Calumet large format view camera was used by Wolfgang Sievers. Wolfgang Sievers’ photography is recognised in national and international collections. This camera was used... More,LER,link
I’ve been holidaying in Europe recently; mainly Italy and Greece  but we also managed a day in Marseille. France’s oldest and second-largest city is European City of Culture for 2013 so there is even more to see than usual. Focusing on Marseille as a …,LER,link
Following on from yesterday’s post and to mark the United Nations International Day of the World’s Indigenous Peoples  here is another photograph of Mavis Warrngilna Ganambarr ... More,LER,link
Seats still available for this Hypothetical at the Powerhouse this evening (part of Sydney Design 2013)...,LER,link
This photograph shows Mavis Warrngilna Ganambarr  one of Australia’s leading fibre artists  whose work is featured in the Love Lace exhibition. It was shot on... More,LER,link
To mark this year’s Engineering Week  I decided to feature Florence Violet Wallace  aka Florence McKenzie or Mrs Mac  a 1923 graduate of Sydney Technical College who later donated her diploma to the Museum. She was also a path-breaker  teacher  …,LER,link
This photograph from the Phillips collection shows a little girl with a pull along horse. Other examples of pull along toys including horses can be... More,LER,link
Wolfgang Sievers took this dramatic photo at the Electrolytic Zinc Works in Risdon  Tasmania in 1959. It shows wide copper pipes and narrow steel walkways... More,LER,link
In 1932 five mystery hikes around Sydney were organised by the railways  with the department store F.J. Palmer and Sons as the commercial sponsor. Hikers... More,LER,link
The life of women changed significantly with domestic design innovations of the 1950s and 60s  with access to time- saving devices like washing machines. With the advent of washing machines  fridges  kitchen whiz’s and hills hoist to name a few  the …,LER,link
Today is the 1st of August  the official birthday for all racehorses in the Southern Hemisphere. It seems like a good day to feature this... More,LER,link
This studio photograph of a small family group is interesting to compare with a similar image posted on POTD in May  also depicting a man... More,LER,link
Hedda Morrison photographed this couple sheltering from the sun at the Stuttgart folk festival in 1931. In this image Hedda Morrison uses the shape of... More,LER,link
This photograph is part of a stereoview (reproduced below) and was published by Photographie C. G. a Paris between 1860 and 1890. The photograph shows an... More,LER,link
National Tree Day is a community tree planting event held at the end July. Schools Tree Day is today  26th July 2013 and it seemed like a good excuse to feature another of Agard Hagman’s paintings from 1888. This painting illustrates Eucalyptus …,LER,link
Gwyn Hanssen Pigott was one of Australia’s most illustrious studio ceramicists whose fine skill and cerebral approach to her art will be greatly missed. After a 1960s to 70s repertoire of stone ware  from the 1980s Gwyn became famous for her fine and …,LER,link
This photograph from the studio of Charles Kerry appears to be a standard harbour view but it also provides a birds-eye view into one of... More,LER,link
No more magnificent structure of design or appointment of its type can be found in the colonies  and certainly not in Sydney  than the... More,LER,link
As one of the three ISEA2013 exhibitions closes this week  I found myself reflecting on the artworks and wondering at the possible connections to our collection. One of the most unusual works to experience in Synapse | a selection was Kirsty Boyle’s …,LER,link
