HER (-7.1853726491802208, 'type_photo')
HER (-3.480837202024901, 'anger_yes')
HER (-2.3676137413603575, 'has_hashtag')
HER (-2.0002167471410641, 'is_authentic_yes')
HER (-1.7460642338220564, 'see_yes')
HER (-1.6257629579380883, 'certain_yes')
HER (-1.5792495560844402, 'discrep_yes')
HER (-1.3562406252234487, 'type_video')
HER (-1.3033979797837754, 'is_clout_no')
HER (-1.2508461981277297, 'posemo_yes')
HER (-1.0936376903035752, 'reward_yes')
HER (-1.0712908692302343, 'low_wps')
HER (-0.98039716831333867, 'risk_yes')
HER (-0.93846422967635246, 'hear_yes')
HER (-0.93329008982264972, 'anx_yes')
HER (-0.90258001835562607, 'affiliation_yes')
HER (-0.88280051599441733, 'sad_yes')
HER (-0.69720834433756229, 'cause_yes')
HER (-0.58755467305054654, 'feel_yes')
HER (-0.55366172697157157, 'has_exclam')
HER (-0.42866750902525091, 'differ_yes')
HER (-0.26369787674279482, 'tentat_yes')
HER (-0.19339700588655773, 'power_yes')
HER (-0.19176244553216318, 'few_sixltr')
HER (-0.059152743447540838, 'is_analytic_no')
HER (-0.042801067065853071, 'achieve_yes')
HER (-0.039424438075490897, 'high_wps')
LER (4.9140960819060489, 'type_status')
LER (2.1134200547965678, 'type_link')
LER (1.6549162982773722, 'has_qmark')
LER (1.5458962085245525, 'is_authentic_no')
LER (1.2705920800081469, 'type_event')
LER (1.0523851495295697, 'netspeak_yes')
LER (0.57488653560512748, 'many_sixltr')
LER (0.52969023693243966, 'is_clout_yes')
LER (0.37638669949360531, 'is_tone_no')
LER (0.36875302406864968, 'has_url')
LER (0.26951286581671063, 'is_analytic_yes')
LER (0.21308188150324917, 'is_tone_yes')
LER (0.15459780076286128, 'assent_yes')
LER (0.10730974563292738, 'nonflu_yes')
