Source (A)	Source (B)	Source (C)	Analytic	Clout	Authentic	Tone	WPS	Sixltr	posemo	negemo	anx	anger	sad	insight	cause	discrep	tentat	certain	differ	see	hear	feel	affiliation	achieve	power	reward	risk	swear	netspeak	assent	nonflu	filler	QMark	Exclam
Make a Father's Day card  http://play.powerhousemuseum.com/make-and-do/special-occasions/make-fathers-day-cards/  Find other Father's Day gifts and activities here http://play.powerhousemuseum.com/make-and-do/special-occasions/	LER	photo	62.04	70.57	36.43	99.00	37.00	27.03	10.81	0.00	0.00	0.00	0.00	2.70	10.81	0.00	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.41	0.00	0.00	0.00	0.00	0.00
This photograph is one of about fifty taken by the young Hedda Morrison at the Stuttgart folk festival in 1931. The photographer’s interest in the careful... More	LER	link	99.00	50.00	15.12	99.00	9.00	25.93	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00	3.70	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00
This is another image from the Rousel Studios Archive Collection. This one dates from the 1930s and shows an advertisement for gas ovens painted on... More	LER	link	97.77	50.00	1.40	25.77	8.67	23.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
This photograph shows another advertising billboard designed by Rousel Studios for Holeproof Hosiery. The previous billboard relied almost entirely on a stylised image of a... More	LER	link	99.00	50.00	5.76	25.77	8.67	46.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	3.85	0.00	11.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
The 1921-22 Australian rugby league tour of Great Britain coincided with a peaking in the popularity of the game in northern England on the back... More	LER	link	99.00	64.46	33.94	99.00	13.50	25.93	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.00	0.00	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
This photograph from the Tom Lennon photographic archive collection shows an unknown dance band in the 1930s at an unknown venue. The radiating geometry of... More	LER	link	99.00	77.92	5.76	25.77	8.67	30.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.69	0.00	0.00	11.54	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
This photograph from the Tyrrell collection shows the suspension foot bridge connecting Avenue Road to Park Avenue over Reid Park  Mosman. The image is taken... More	LER	link	99.00	50.00	17.46	25.77	8.67	19.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.54	0.00	0.00	0.00	0.00	3.85	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Say hello to Studio Pop-ups  where you can get up close and personal with designers and their creative process! Thursday 15 to Sunday 18 August  10am to 5pm Tickets: free with Museum entry   Everybody knows about the Powerhouse Museum’s Young Blood markets which were launched in 2005 as part of Sydney Design. It was one of the first designer markets in Sydney and the only design market which was presented in a vibrant museum setting. Markets are an important launch pad for emerging designers but as a museum dedicated to ‘unpacking’ design in all its manifestations  we now feel its time to crank it up a notch and give you the chance to see inside a designer’s studio.   Studio Pop-ups will continue to support the work of local designers whilst offering you a deeper and more meaningful experience with the design process. Discover how a jeweller makes each piece  learn about contemporary technologies  processes  systems and equipment and find out first hand what motivates and inspires designers or hear about changes in their field.   Studio Pop-ups presents ten carefully selected design studios – as pop ups. Designers are selling their products and also offering you the chance to see how it’s done. Each studio is housed in a specially-designed pop up stall located inside the Museum. Studio Pop-ups is the perfect opportunity to be a part of the design conversation and to learn more about the design process. Where else can you buy your favourite designer’s work  have a go at the creative process yourself and go home with a deeper knowledge and understanding of how it was made?  http://www.sydneydesign.com.au/2013/event/studio-pop-ups-3/	LER	link	90.12	80.98	28.23	82.36	23.75	22.81	3.16	0.00	0.00	0.00	0.00	3.86	4.21	0.00	1.05	1.05	1.05	0.70	0.70	0.70	1.05	2.81	1.40	1.05	0.35	0.00	0.35	0.00	0.00	0.00	0.35	0.35
This photograph from the Tyrrell collection shows some model yacht enthusiasts sailing their craft in Centennial Park. Model yacht sailing was a popular leisure activity... More	LER	link	95.89	77.92	1.00	99.00	8.67	38.46	7.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	7.69	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
This image from Kerry & Co shows a ‘million dollar’ view of Sydney Harbour and the city taken from Lavender Bay  probably in the... More	LER	link	99.00	50.00	1.79	25.77	12.00	16.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	12.50	0.00	0.00	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
