posts,label
is_analytic_yes is_clout_yes is_tone_yes posemo_yes affiliation_yes many_sixltr low_wps has_exclam type_photo has_hashtag welcome world jonathan george romney grandchild 15,HER
is_analytic_no is_clout_yes is_authentic_yes is_tone_yes posemo_yes few_sixltr low_wps has_exclam type_status thank new york,HER
is_clout_no is_authentic_yes is_tone_yes posemo_yes achieve_yes power_yes reward_yes assent_yes many_sixltr has_exclam type_photo okay finally dressed match moustache montreal movember gala night huge success,HER
is_clout_yes posemo_yes negemo_yes insight_yes cause_yes discrep_yes certain_yes hear_yes affiliation_yes achieve_yes reward_yes risk_yes type_status stand today awe great nation humbled opportunity defend constitution serve american people speaker house restore house open institution listens people end rituals easy dodge tough decisions make choices necessary return economy prosperity,HER
is_analytic_yes posemo_yes cause_yes certain_yes affiliation_yes achieve_yes power_yes many_sixltr high_wps type_status morning house majority leader eric cantor leading house reading constitution marking institution 221 year history members congress read entire document house floor house republicans committed honoring constitution mandating rules package approved yesterday bills cite constitutional authority,HER
is_authentic_yes is_tone_no posemo_yes negemo_yes anger_yes sad_yes insight_yes discrep_yes differ_yes affiliation_yes power_yes risk_yes netspeak_yes many_sixltr high_wps type_status keeping pledge today house begin process repealing jobs killing health care law american people rejected november need start common sense reforms protect jobs help lower health care costs unconstitutional mandates new taxes penalties small businesses,HER
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes certain_yes affiliation_yes many_sixltr low_wps has_exclam type_photo 750 000 facebook fans thanks everybody,HER
is_analytic_yes is_authentic_yes posemo_yes negemo_yes cause_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes type_status years people house allowed work result largest spending cut modern history step better environment private sector job creation country senate majority leader reid bring immediate vote,HER
is_analytic_yes posemo_yes negemo_yes insight_yes cause_yes affiliation_yes power_yes reward_yes type_link longer act climate change greater cost economy australian jobs carbon price cheapest fairest way cut pollution build clean energy economy,HER
is_analytic_yes is_tone_no posemo_yes negemo_yes anx_yes anger_yes cause_yes discrep_yes tentat_yes differ_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps type_status house voted repeal obamacare job destroying 1099 paperwork mandate major source uncertainty job creators grappling costs government takeover health care having run small business tell washington mandates like destroy jobs increasing costs creating uncertainty burying employers paperwork senate pass delay,HER
is_analytic_no posemo_yes negemo_yes sad_yes insight_yes cause_yes discrep_yes differ_yes see_yes hear_yes affiliation_yes power_yes risk_yes few_sixltr type_link world moves lower carbon future right australia decide secure clean energy future important policy debate distracted extreme views people say contribution judged quality volume,HER
is_analytic_no is_clout_yes is_authentic_no see_yes hear_yes achieve_yes power_yes low_wps type_link business leaders backing carbon price say,HER
is_analytic_no is_authentic_yes is_tone_yes posemo_yes affiliation_yes type_photo happy birthday ann romney wife sweetheart,HER
is_authentic_yes is_tone_no negemo_yes anger_yes cause_yes certain_yes type_link act climate change fact critical,HER
is_analytic_yes is_tone_no negemo_yes anx_yes cause_yes power_yes many_sixltr type_video kakadu australia world heritage listed sites vulnerable impacts climate change,HER
is_analytic_yes power_yes many_sixltr high_wps type_link morning minister ludwig announced government suspended export live cattle indonesia new safeguards established trade,HER
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes reward_yes many_sixltr type_link signing today historic gove agreement deliver long term benefits north east arnhem land,HER
insight_yes cause_yes few_sixltr high_wps type_link australians know tackle climate change price carbon,HER
is_authentic_no insight_yes discrep_yes see_yes reward_yes has_qmark type_link want know tax cuts payments price pollution look household assistance estimator,HER
is_tone_no negemo_yes anger_yes sad_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes see_yes hear_yes affiliation_yes achieve_yes power_yes risk_yes type_status president said today american people sold job crushing tax hikes americans beg differ looming debt crisis result washington taxing result government spending absurd self destructive continue dumping taxpayer money failed stimulus philosophy white house step embrace real spending reductions,HER
is_authentic_no posemo_yes negemo_yes discrep_yes differ_yes see_yes hear_yes power_yes type_status media accounts speculating deal republicans white house exist exist cut cap balance act approved house bipartisan support support american people senate job listen people pass today,HER
is_analytic_no is_clout_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes high_wps type_status said tonight debate job crushing debt president obama house republicans standing american people future seek families solution crisis complicated spending money taking need spend,HER
is_clout_no is_tone_no negemo_yes anx_yes insight_yes discrep_yes certain_yes differ_yes power_yes risk_yes type_status washington democrats stand american people responsible resolution debt crisis house passed bills cut spending avoid national default senate passed budget americans tolerate inaction senate longer senate pass house send president desk,HER
is_analytic_no is_authentic_yes is_tone_no posemo_yes negemo_yes anger_yes insight_yes discrep_yes tentat_yes certain_yes differ_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes type_status passed house night write conservatives ran washington step right direction went ny said pass debt limit increase spending cuts larger hike skeptics said crazy proven skeptics wrong americans stay engaged government limit fight,HER
is_analytic_yes posemo_yes negemo_yes insight_yes cause_yes discrep_yes differ_yes see_yes affiliation_yes achieve_yes risk_yes few_sixltr high_wps type_link need look older australians asset valued problem solved,HER
is_authentic_yes certain_yes achieve_yes reward_yes type_video today australia took step disability scheme rely,HER
posemo_yes negemo_yes anx_yes anger_yes insight_yes cause_yes discrep_yes tentat_yes see_yes affiliation_yes achieve_yes power_yes reward_yes risk_yes high_wps has_qmark type_status today named conservative leaders bipartisan committee urgent work lifting crushing burden debt threatens children future panel begins discussing solutions rein mandatory spending fix broken entitlement create better environment long term job growth like addressed,HER
is_analytic_no is_authentic_yes is_tone_no negemo_yes sad_yes insight_yes discrep_yes tentat_yes differ_yes see_yes power_yes type_link missed yesterday watch wayne swan ministerial statement global economy,HER
discrep_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps type_link house majority leader eric cantor following op ed usa today jobs need balanced budget amendment constitution,HER
is_analytic_yes is_clout_yes is_authentic_yes affiliation_yes achieve_yes power_yes many_sixltr type_video going stand shoulder shoulder bluescope workers tough times,HER
is_analytic_yes is_tone_no posemo_yes negemo_yes anx_yes anger_yes insight_yes cause_yes discrep_yes tentat_yes feel_yes affiliation_yes achieve_yes power_yes reward_yes many_sixltr high_wps type_link major causes economic uncertainty country ongoing barrage government regulations tying hands private sector job creators morning asked president obama explain administration plans 15 spike major economic regulations costing 100m contradicts wh rhetoric week president desire reduce regulatory burden job creators,HER
is_analytic_no is_clout_yes is_authentic_no insight_yes discrep_yes tentat_yes affiliation_yes power_yes many_sixltr low_wps has_qmark type_link know outstanding community dedicated diversity australian multicultural council appointing 40 people australia ambassadors nominate,HER
is_analytic_no is_authentic_yes posemo_yes negemo_yes anx_yes anger_yes sad_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes achieve_yes power_yes risk_yes has_qmark type_status private sector job growth continues undermined triple threat higher taxes failed stimulus spending excessive federal regulations president obama addresses congress week hope change course plan remove barriers private sector job creation american people asking jobs government answer,HER
is_clout_yes is_tone_yes posemo_yes discrep_yes certain_yes type_status wishing dad happy father day today,HER
is_authentic_yes see_yes hear_yes type_link right pm delivering major speech chifley research centre talking labor future watch live,HER
posemo_yes negemo_yes insight_yes cause_yes tentat_yes certain_yes differ_yes see_yes achieve_yes power_yes risk_yes high_wps type_status white house talks plan raise taxes millionaires rich really means raising taxes small businesses private capital essential job creation raising taxes american job creators exactly wrong thing economy,HER
is_analytic_yes posemo_yes negemo_yes anger_yes feel_yes affiliation_yes achieve_yes power_yes type_link congratulations wayne swan named finance minister year budget position envy world thanks hard work australians confirms,HER
is_tone_yes posemo_yes insight_yes discrep_yes certain_yes affiliation_yes achieve_yes power_yes low_wps type_link proud join presidents bush clinton help honor heroes united flight 93 consider donating today completion important memorial forget,HER
is_analytic_no is_clout_yes is_authentic_yes posemo_yes negemo_yes sad_yes insight_yes cause_yes discrep_yes tentat_yes certain_yes differ_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes type_status disappointed president obama apparently given governing decided campaign instead doing people sent washington expect common ground deal big challenges face create better environment job creation identified specific areas work president chosen listen unfortunate,HER
is_analytic_no is_authentic_yes posemo_yes discrep_yes tentat_yes differ_yes power_yes type_status want america strongest nation president president today,HER
is_authentic_yes is_tone_yes posemo_yes cause_yes certain_yes feel_yes power_yes type_status morning clean energy future bills passed house representatives campaigned long hard action climate change today important milestone,HER
is_analytic_no is_authentic_no posemo_yes negemo_yes sad_yes cause_yes differ_yes feel_yes achieve_yes power_yes reward_yes risk_yes high_wps type_status bad president obama good creating jobs higher home values finger pointing failures,HER
