HER (-4.3054160496868379, 'type_photo')
HER (-1.4459681441036614, 'risk_yes')
HER (-1.128546662120449, 'high_wps')
HER (-1.0848881181756773, 'has_url')
HER (-0.9519514248290174, 'sad_yes')
HER (-0.76275886251334113, 'has_exclam')
HER (-0.58384016653882653, 'insight_yes')
HER (-0.54727685070685717, 'differ_yes')
HER (-0.46681478150871286, 'nonflu_yes')
HER (-0.4482685140926615, 'posemo_yes')
HER (-0.40027902525841652, 'is_authentic_yes')
HER (-0.39018483472596094, 'anx_yes')
HER (-0.28513642583259191, 'is_authentic_no')
HER (-0.25550204134214916, 'achieve_yes')
HER (-0.16863625894277678, 'is_clout_yes')
HER (-0.080702159466751591, 'filler_yes')
LER (2.5343493140344608, 'type_status')
LER (1.8883226698019524, 'type_link')
LER (1.2329770693145163, 'type_event')
LER (1.0556950960100548, 'has_hashtag')
LER (1.0291512104140212, 'type_note')
LER (0.86542625912024485, 'netspeak_yes')
LER (0.81688362739391263, 'type_video')
LER (0.61045116488356976, 'negemo_yes')
LER (0.6040853237870164, 'reward_yes')
LER (0.5250939134199325, 'many_sixltr')
LER (0.39846770818072108, 'power_yes')
LER (0.36747516675180025, 'certain_yes')
LER (0.33745847359702552, 'is_tone_yes')
LER (0.30735208260441826, 'few_sixltr')
LER (0.30657046448471748, 'low_wps')
LER (0.2936190730774671, 'feel_yes')
LER (0.22751812565831322, 'anger_yes')
LER (0.20283220439218605, 'hear_yes')
LER (0.17589626824564122, 'affiliation_yes')
LER (0.17066973879076108, 'see_yes')
LER (0.16407288738471373, 'tentat_yes')
LER (0.15013439153968233, 'is_tone_no')
LER (0.1255030830327282, 'is_clout_no')
LER (0.10756358597519501, 'is_analytic_yes')
LER (0.099923571868739389, 'assent_yes')
LER (0.074911689923605598, 'has_qmark')
LER (0.070997094220572501, 'swear_yes')
LER (0.069950493731511645, 'discrep_yes')
LER (0.037025517613217228, 'is_analytic_no')
LER (0.014803534564714586, 'cause_yes')
