HER (-7.2972072130436754, 'type_photo')
HER (-4.0769860993025677, 'homeless')
HER (-3.9493832775573976, 'alzheimer')
HER (-3.4764272584383411, 'jude')
HER (-3.3053307102257747, 'homelessness')
HER (-3.1540324197832135, 'rotary')
HER (-3.0430920631121077, 'abortion')
HER (-2.8533236396527166, 'st')
HER (-2.7825705583522824, 'abigail')
HER (-2.7728213488912212, 'sc')
HER (-2.7178019417549022, 'veterans')
HER (-2.6058882745174001, 'parenthood')
HER (-2.5687017901326983, 'endalz')
HER (-2.3909442136094938, 'nepal')
HER (-2.3851249612930605, 'polio')
HER (-2.3165183876502815, 'thoughts')
HER (-2.2997438816806572, 'wwp')
HER (-2.28542815457795, 'planned')
HER (-2.1974472440116615, 'teachers')
HER (-2.1395120650733417, 'kent')
HER (-2.0888117710556999, 'hearts')
HER (-2.0583447327116215, 'solar')
HER (-2.0152232233019514, 'share')
HER (-2.0134034632454414, 'pray')
HER (-1.9840671556372969, 'heroes')
HER (-1.9456125954232741, 'posemo_yes')
HER (-1.9285776728813333, 'charities')
HER (-1.8991689061812846, 'education')
HER (-1.888694412968533, 'congratulations')
HER (-1.8801794031420405, 'matter')
HER (-1.8636263238908999, 'planet')
HER (-1.854681471608193, 'shell')
HER (-1.8431326662794594, 'roots')
HER (-1.7835755940214322, 'nature')
HER (-1.7813414223382831, 'image')
HER (-1.7724267317167479, 'statement')
HER (-1.7673241468544418, 'years')
HER (-1.7635515267199882, 'is_analytic_no')
HER (-1.7494606515544955, 'monarch')
HER (-1.7371913106851649, 'pup')
HER (-1.7353697304630373, 'size')
HER (-1.7254935614207223, 'changed')
HER (-1.6900301223596201, 'animal')
HER (-1.6515081032497456, 'choosemore')
HER (-1.6495521566572722, 'cross')
HER (-1.6382563282711036, 'marine')
HER (-1.6344033038758656, 'black')
HER (-1.6279551580872706, 'service')
HER (-1.6064977888238234, 'fracking')
HER (-1.6012165812633832, 'edythe')
HER (-1.5979153940183424, 'veteran')
HER (-1.5922434596064732, 'breaking')
HER (-1.5916324926637844, 'ones')
HER (-1.5853913495890535, 'victory')
HER (-1.5802286198605975, 'politicians')
HER (-1.5636088782880762, 'heartwarming')
HER (-1.5408561433826895, 'images')
HER (-1.52653735943171, 'family')
HER (-1.4885199138510252, 'libraries')
HER (-1.4784075454397023, 'kids')
HER (-1.4769286484057236, 'finally')
