HER (-4.7866896010412692, 'share')
HER (-4.2073640275137958, 'alzheimer')
HER (-3.8989532947513479, 'st')
HER (-3.8657763549896158, 'jude')
HER (-3.8657763549896158, 'st jude')
HER (-3.598836328572224, 'abortion')
HER (-3.3032064927481581, 'homeless')
HER (-3.2307921245163245, 'rotary')
HER (-3.0587294059924468, 'happy')
HER (-2.722810068928204, 'polio')
HER (-2.7076673693333655, 'years')
HER (-2.6786770313889239, 'homelessness')
HER (-2.6511242131779222, 'breaking')
HER (-2.5908225100587945, 'parenthood')
HER (-2.5908225100587945, 'planned parenthood')
HER (-2.3981150832761382, 'planned')
HER (-2.1611789348582326, 'endalz')
HER (-2.1579016812118903, 'women')
HER (-2.1523907168204599, 'veterans')
HER (-2.0938779829307572, 'image')
HER (-2.0849210294673557, 'nature')
HER (-2.016877754728978, 'sc org')
HER (-2.0000788019868776, 'sc')
HER (-1.8923199116924347, 'congratulations')
HER (-1.8916033821195419, 'agree')
HER (-1.8778738587712167, 'kids')
HER (-1.8691571062533152, 'edythe')
HER (-1.8475145864491116, 'matter')
HER (-1.8366531033354558, 'solar')
HER (-1.8305822328828558, 'wednesdaywisdom')
HER (-1.8242619936797979, 'pray')
HER (-1.8132490023408407, 'thanks sharing')
HER (-1.8100927371372058, 'said')
HER (-1.7814091640491183, 'abigail')
HER (-1.7794817204869231, 'planet')
HER (-1.7696270962700014, 'wwp')
HER (-1.7566659541807126, 'nepal')
HER (-1.7465839052058296, 'mp')
HER (-1.7423644329325854, 'mondaymotivation')
HER (-1.6801472678498584, 'amazing')
HER (-1.6733279319866565, 'victory')
HER (-1.665989330355921, 'shell')
HER (-1.6653633494260558, 'teachers')
HER (-1.6244635110849861, 'red cross')
HER (-1.6027587116027358, 'safe')
HER (-1.5984597287626452, 'oil')
HER (-1.5968488295889764, 'education')
HER (-1.5662023610552782, 'arctic')
HER (-1.5586422937783853, 'family')
HER (-1.5577331956615816, 'life')
HER (-1.551132147433159, 'plastic')
HER (-1.5401540291691977, 'refugee')
HER (-1.5356551494240762, 'refugeeswelcome')
HER (-1.520501188950943, 'world')
HER (-1.5147579949638554, 'syrian')
HER (-1.5142147054304029, 'old')
HER (-1.5124499908755731, 'politicians')
HER (-1.5109388197983127, 'truth')
HER (-1.4980423718093276, 'remember')
HER (-1.4873088674115131, 'change')
HER (-1.4872121512280088, 'true')
HER (-1.4816290679888278, 'stand')
HER (-1.4558632749622029, 'birthday')
HER (-1.4498360507754422, 'seaworld')
HER (-1.4278965090151987, 'moment')
HER (-1.4020228516345858, 'choosemore')
HER (-1.3935800684788093, 'born')
HER (-1.3909719957754378, 'birth')
HER (-1.3814414977876139, 'control')
HER (-1.3576448635815117, 'refugees')
HER (-1.3461879628750844, 'malala')
HER (-1.3442098108157847, 'man')
HER (-1.3393172741638497, 'finally')
HER (-1.3244960185895802, 'climate')
HER (-1.3209327930046295, 'wild')
HER (-1.3182852181020468, 'veteran')
HER (-1.3159647518580548, 'panda')
