HER (-6.7068739967120869, 'wwf')
HER (-6.6626456153908515, 'irc')
HER (-4.2713746675726245, 'type_photo')
HER (-3.710641741669932, 'species')
HER (-3.4424190273423623, 'room read')
HER (-2.9110532363087311, 'homeless')
HER (-2.842640486401502, 'wildlife')
HER (-2.7960621121703211, 'type_photo has_url')
HER (-2.7900827734239724, 'refugee')
HER (-2.7869801330064559, 'refugees')
HER (-2.7712937220287177, 'unhcr')
HER (-2.7300582819748276, 'conservation')
HER (-2.6687457888490989, 'wfp')
HER (-2.6488460587072038, 'alzheimer')
HER (-2.5672232761139782, 'nature')
HER (-2.3287578274513931, 'hour')
HER (-2.2682630711044398, 'reason hope')
HER (-2.2651934266265901, 'room')
HER (-2.1779261394516491, 'share')
HER (-2.1611316202552504, 'education')
HER (-2.1537546647932881, 'planet')
HER (-2.1120594819386511, 'rescue')
HER (-2.0635323193901374, 'syria')
HER (-2.0454739473864634, 'nepal')
HER (-1.9794072175197721, 'read')
HER (-1.9725586563357118, 'laos')
HER (-1.9637501782056526, 'has_exclam type_photo')
HER (-1.9621872134828433, 'low_wps type_photo')
HER (-1.9059528683659182, 'girls')
HER (-1.8682735012476901, 'has_qmark type_photo')
HER (-1.8424935162786142, 'updates')
HER (-1.8221019889636834, 'glimpse')
HER (-1.7982548387896646, 'vietnam')
HER (-1.7562862484491519, 'women')
HER (-1.7352001116144518, 'fracking')
HER (-1.7185676717206335, 'john wood')
HER (-1.7134887502340994, 'tiger')
HER (-1.6996807080756993, 'ebola')
HER (-1.6923225156120161, 'panda')
HER (-1.6870901195405879, 'newroots')
HER (-1.6828889356627048, 'caption')
HER (-1.6727581447385362, 'cambodia')
HER (-1.6389239707488721, 'wood')
HER (-1.6206922142724196, 'david')
HER (-1.60265800762682, 'john')
HER (-1.5871960275927934, 'abortion')
HER (-1.5585903514420794, 'genr')
HER (-1.5555775571134685, 'type_link blog')
HER (-1.5451580319278233, 'booktober')
HER (-1.5422258592248888, 'rhino')
HER (-1.5382282147400861, 'news')
HER (-1.4975984722145113, 'libraries')
HER (-1.492355742708271, 'type_photo happy')
HER (-1.464888141445515, 'displaced')
HER (-1.4624293113234583, 'caught')
HER (-1.4593035440310687, 'endalz')
HER (-1.4486330790997217, 'peaceful')
HER (-1.429654328849886, 'honor')
HER (-1.4231951265457241, 'oil')
HER (-1.4215984440604259, 'sc')
HER (-1.4215984440604259, 'sc org')
HER (-1.4153805204213612, 'breaking')
HER (-1.4144257511483549, 'type_link happy')
HER (-1.4064293243141515, 'kids')
HER (-1.4049032619883277, 'environment')
HER (-1.3968413955066692, 'country director')
HER (-1.3948161227130718, 'girl')
HER (-1.3937773725000657, 'millions')
HER (-1.3919228734622058, '2012')
HER (-1.3911755816570628, 'control')
HER (-1.3790806064445527, 'hunger')
HER (-1.372589230545225, 'heroes')
HER (-1.3681785598016944, 'family')
HER (-1.3573528812858329, 'roots')
HER (-1.3534780027980327, 'says')
HER (-1.3439650979375539, 'cause_yes power_yes')
HER (-1.3433680427790351, 'malala')
HER (-1.3353809841073803, 'tigers')
HER (-1.3158585237978002, 'drought')
HER (-1.312437336467144, 'world')
HER (-1.3101804205243253, 'david miliband')
HER (-1.3101804205243253, 'miliband')
HER (-1.2897975901286132, 'species day')
HER (-1.2843080999399648, 'miles')
HER (-1.282826280169475, 'humanitarian')
HER (-1.2748862586023397, 'new roots')
HER (-1.2744409021897487, 'infographic')
HER (-1.269794626620552, 'sea')
HER (-1.2690399646601349, 'reason')
HER (-1.2688313862271821, 'malawi')
HER (-1.2670911685632436, 'type_link check')
HER (-1.2638003019715629, 'pass')
HER (-1.2637250670842279, 'polio')
HER (-1.2595059270187863, 'horn')
HER (-1.2534154492848379, 'roomtoread')
HER (-1.2534154492848379, 'roomtoread org')
HER (-1.2454561237412798, 'child')
HER (-1.2446422041135274, 'rhinos')
HER (-1.2437275056196981, 'international')
HER (-1.2401901859542064, 'whale')
LER (5.1927143499766357, 'red')
LER (3.9575749089852694, 'type_status')
LER (3.6216714383243782, 'lra')
LER (3.5324333561353849, 'rmhc')
LER (3.0119248942599248, 'cancer')
LER (3.0067746825412431, 'brief')
LER (2.853061216346882, 'livestrong')
LER (2.7920397117423352, 'aids')
LER (2.4892555523560875, 'zerolra')
LER (2.1703729858608729, 'kony')
LER (2.1613417361145073, 'invisible children')
LER (2.1398617096747348, 'hrc')
LER (2.0770792144515986, 'tickets')
LER (1.9756644150199751, '2016')
LER (1.784415755590689, 'young people')
LER (1.7444656869441875, '2015')
LER (1.7287586132700892, 'low_wps type_status')
LER (1.7204619131378962, 'scholarship')
LER (1.7111512163897233, 'eric')
LER (1.7077287164206978, 'world vision')
