HER (-2.1997516364538092, 'posemo_yes')
HER (-1.6544610968844649, 'sad_yes')
HER (-1.3023581376362858, 'risk_yes')
HER (-1.2065810152338226, 'differ_yes')
HER (-1.1137446543877185, 'is_analytic_no')
HER (-1.0768722919304283, 'is_tone_yes')
HER (-1.0265144449259955, 'is_authentic_no')
HER (-0.82210396805537844, 'certain_yes')
HER (-0.82208718014303139, 'discrep_yes')
HER (-0.5258915439921914, 'anger_yes')
HER (-0.51253058225879766, 'power_yes')
HER (-0.29736586988269392, 'insight_yes')
HER (-0.21111335349976307, 'is_clout_no')
HER (-0.20503737411652692, 'netspeak_yes')
HER (-0.18128101122110174, 'anx_yes')
LER (1.7154207407318149, 'see_yes')
LER (1.4537967177755851, 'reward_yes')
LER (1.3656609826647959, 'is_clout_yes')
LER (0.99606027533312236, 'tentat_yes')
LER (0.98418593858277159, 'affiliation_yes')
LER (0.7983338460849535, 'nonflu_yes')
LER (0.71242804329117093, 'cause_yes')
LER (0.46054590394749034, 'is_analytic_yes')
LER (0.45920812508176223, 'is_authentic_yes')
LER (0.4010877831274991, 'swear_yes')
LER (0.27930987097856741, 'hear_yes')
LER (0.16102841541471333, 'negemo_yes')
LER (0.10799829312248363, 'is_tone_no')
LER (0.072946758463093508, 'feel_yes')
