2016-3-9,2114366
2016-3-10,2114320
2016-3-11,2114330
2016-3-12,2114296
2016-3-13,2114343
2016-3-14,2114392
2016-3-15,2114408
2016-3-16,2114443
2016-3-17,2114894
2016-3-18,2115078
2016-3-19,2115241
2016-3-20,2115369
2016-3-21,2115782
2016-3-22,2116283
2016-3-23,2116704
2016-3-24,2116884
2016-3-25,2117065
2016-3-26,2117190
2016-3-27,2117458
2016-3-28,2117752
2016-3-29,2117994
2016-3-30,2118166
2016-3-31,2118323
2016-4-1,2118481
2016-4-2,2118527
2016-4-3,2118517
2016-4-4,2118515
2016-4-5,2118550
2016-4-6,2118535
2016-4-7,2118489
2016-4-8,2118486
2016-4-9,2118483
2016-4-10,2118470
2016-4-11,2118509
2016-4-12,2118530
2016-4-13,2118762
2016-4-14,2118805
2016-4-15,2118910
2016-4-16,2118916
2016-4-17,2118959
2016-4-18,2119011
2016-4-19,2119053
2016-4-20,2119072
2016-4-21,2119030
2016-4-22,2118993
2016-4-23,2118978
2016-4-24,2118995
2016-4-25,2118994
2016-4-26,2119062
2016-4-27,2119069
2016-4-28,2119159
2016-4-29,2119257
2016-4-30,2119285
2016-5-1,2119304
2016-5-2,2119325
2016-5-3,2119352
2016-5-4,2119380
2016-5-5,2119391
2016-5-6,2119375
2016-5-7,2119386
2016-5-8,2119447
2016-5-9,2119516
2016-5-10,2119580
2016-5-11,2119632
2016-5-12,2119613
2016-5-13,2119847
2016-5-14,2119995
2016-5-15,2120217
2016-5-16,2120478
2016-5-17,2120669
2016-5-18,2120860
2016-5-19,2121051
2016-5-20,2121242
2016-5-21,2121433
2016-5-22,2121624
2016-5-23,2121815
2016-5-24,2122006
2016-5-25,2122197
2016-5-26,2122388
2016-5-27,2122588
2016-5-28,2122830
2016-5-29,2122993
2016-5-30,2123182
2016-5-31,2123332
2016-6-1,2123496
2016-6-2,2123484
2016-6-3,2123652
2016-6-4,2123770
2016-6-5,2123882
2016-6-6,2124070
2016-6-7,2124273
2016-6-8,2124477
2016-6-9,2124610
2016-6-10,2124738
2016-6-11,2124793
2016-6-12,2124880
2016-6-13,2125036
2016-6-14,2125186
2016-6-15,2125336
2016-6-16,2125422
2016-6-17,2125539
2016-6-18,2125767
2016-6-19,2125981
2016-6-20,2126140
2016-6-21,2126216
2016-6-22,2126284
2016-6-23,2126353
2016-6-24,2126460
2016-6-25,2126573
2016-6-26,2126716
2016-6-27,2126921
2016-6-28,2127133
2016-6-29,2127255
2016-6-30,2127330
2016-7-1,2127446
2016-7-2,2127599
2016-7-3,2127647
2016-7-4,2127698
2016-7-5,2127807
2016-7-6,2127874
2016-7-7,2127813
2016-7-8,2127796
2016-7-9,2127797
2016-7-10,2128099
2016-7-11,2128183
2016-7-12,2128328
2016-7-13,2128441
2016-7-14,2128564
2016-7-15,2128620
2016-7-16,2128747
2016-7-17,2128965
2016-7-18,2129191
2016-7-19,2129393
2016-7-20,2129436
2016-7-21,2129465
2016-7-22,2129449
2016-7-23,2129609
2016-7-24,2129818
2016-7-25,2130003
2016-7-26,2130169
2016-7-27,2130271
2016-7-28,2130255
2016-7-29,2130270
2016-7-30,2130373
2016-7-31,2130482
2016-8-1,2130582
2016-8-2,2130532
2016-8-3,2130543
2016-8-4,2130490
2016-8-5,2130461
2016-8-6,2130360
2016-8-7,2130316
2016-8-8,2130244
2016-8-9,2130129
2016-8-10,2130092
2016-8-11,2130029
2016-8-12,2129961
2016-8-13,2129843
2016-8-14,2129772
2016-8-15,2129658
2016-8-16,2129622
2016-8-17,2129585
2016-8-18,2129540
2016-8-19,2129431
2016-8-20,2129348
2016-8-21,2129290
2016-8-22,2129280
2016-8-23,2129268
2016-8-24,2129247
2016-8-25,2129226
2016-8-26,2129205
2016-8-27,2129184
2016-8-28,2129163
2016-8-29,2129142
2016-8-30,2129121
2016-8-31,2129100
2016-9-1,2129079
2016-9-2,2129058
2016-9-3,2129029
2016-9-4,2129067
2016-9-5,2129105
2016-9-6,2129143
2016-9-7,2129181
2016-9-8,2129223
2016-9-9,2129194
2016-9-10,2129191
2016-9-11,2129160
2016-9-12,2129125
2016-9-13,2129076
2016-9-14,2129090
2016-9-15,2129036
2016-9-16,2129735
2016-9-17,2129818
2016-9-18,2129742
2016-9-19,2129654
2016-9-20,2129653
2016-9-21,2129612
2016-9-22,2129514
2016-9-23,2129474
2016-9-24,2129470
2016-9-25,2129454
2016-9-26,2129376
2016-9-27,2129358
2016-9-28,2129309
2016-9-29,2129263
2016-9-30,2129213
2016-10-1,2129200
2016-10-2,2129169
2016-10-3,2129148
2016-10-4,2129109
2016-10-5,2129057
2016-10-6,2129019
2016-10-7,2128942
2016-10-8,2128881
2016-10-9,2128816
2016-10-10,2128779
2016-10-11,2128708
