HER (-3.1951837509026011, 'type_photo')
HER (-0.94025712466204125, 'has_url')
HER (-0.60121906338251374, 'insight_yes')
HER (-0.55301095211205442, 'posemo_yes')
HER (-0.52506432271037295, 'is_analytic_yes')
HER (-0.5003130815577056, 'cause_yes')
HER (-0.49652852940433212, 'affiliation_yes')
HER (-0.49334080268166447, 'sad_yes')
HER (-0.41850972324089236, 'is_clout_no')
HER (-0.40809520023639922, 'certain_yes')
HER (-0.34376608119740276, 'negemo_yes')
HER (-0.33333219820206561, 'is_clout_yes')
HER (-0.32011462301821592, 'is_tone_no')
HER (-0.31801133020654687, 'has_hashtag')
HER (-0.3110574862728383, 'differ_yes')
HER (-0.28778572741343567, 'high_wps')
HER (-0.23690565446830458, 'is_analytic_no')
HER (-0.22524985274687837, 'discrep_yes')
HER (-0.20083333526408143, 'has_exclam')
HER (-0.19737376621769062, 'anx_yes')
HER (-0.17893856563285679, 'few_sixltr')
HER (-0.16659121216657266, 'is_authentic_yes')
HER (-0.16328411768531001, 'tentat_yes')
HER (-0.10087862832561593, 'hear_yes')
HER (-0.086912177701306714, 'has_qmark')
HER (-0.076371282258810624, 'many_sixltr')
HER (-0.033638516556250671, 'risk_yes')
LER (3.629133352504371, 'nonflu_yes')
LER (3.2341243380543072, 'type_status')
LER (3.0110233875454324, 'type_link')
LER (1.0832042694460942, 'is_authentic_no')
LER (0.96074464658183101, 'type_video')
LER (0.61356639508220367, 'reward_yes')
LER (0.58603020117066562, 'assent_yes')
LER (0.43260510378277384, 'filler_yes')
LER (0.36574870414400945, 'swear_yes')
LER (0.28156443692268451, 'anger_yes')
LER (0.16956553898909674, 'power_yes')
LER (0.11818750267939385, 'netspeak_yes')
LER (0.07704015327693349, 'achieve_yes')
LER (0.044455142271884185, 'low_wps')
LER (0.043211569158748665, 'see_yes')
LER (0.025624882571454573, 'feel_yes')
