HER (-2.330723186542107, 'posemo_yes')
HER (-1.4972301555231393, 'certain_yes')
HER (-1.4525219600240953, 'see_yes')
HER (-1.4245196841154346, 'is_authentic_yes affiliation_yes')
HER (-1.3605655778829999, 'posemo_yes discrep_yes')
HER (-1.3383110602184174, 'is_authentic_yes')
HER (-1.3161016902646194, 'see_yes hear_yes')
HER (-1.2381759735424589, 'anger_yes')
HER (-1.224565372229329, 'differ_yes see_yes')
HER (-1.2187092470265839, 'negemo_yes anger_yes')
HER (-1.146887255770479, 'is_clout_no is_authentic_yes')
HER (-1.0943409564394937, 'insight_yes certain_yes')
HER (-1.0722005497436646, 'is_analytic_no feel_yes')
HER (-1.0655207803222766, 'posemo_yes see_yes')
HER (-1.0394361867045236, 'see_yes power_yes')
HER (-1.0241002010644003, 'power_yes netspeak_yes')
HER (-1.0153991545898904, 'differ_yes')
HER (-0.94622331826301909, 'insight_yes see_yes')
HER (-0.913410119737874, 'see_yes affiliation_yes')
HER (-0.81075015409251294, 'is_analytic_yes posemo_yes')
HER (-0.74157848021344608, 'reward_yes')
HER (-0.72138178588176227, 'is_authentic_yes power_yes')
HER (-0.71669617394713703, 'sad_yes')
HER (-0.70881486053232456, 'discrep_yes differ_yes')
HER (-0.70108561817520698, 'is_authentic_no posemo_yes')
HER (-0.69890681301508895, 'cause_yes see_yes')
HER (-0.67174209835281684, 'cause_yes discrep_yes')
HER (-0.6643535921456809, 'is_analytic_no netspeak_yes')
HER (-0.65532733291844214, 'is_analytic_no is_clout_no')
HER (-0.61012518383967118, 'power_yes reward_yes')
HER (-0.58706402723766316, 'risk_yes')
HER (-0.56754766048072602, 'tentat_yes power_yes')
HER (-0.56032097770672851, 'cause_yes')
HER (-0.51860162495734041, 'is_analytic_no is_authentic_yes')
HER (-0.48415366375259261, 'anx_yes')
HER (-0.48415366375259261, 'negemo_yes anx_yes')
HER (-0.47152712660724733, 'see_yes achieve_yes')
HER (-0.46965662943775455, 'discrep_yes')
HER (-0.46101757155733625, 'sad_yes insight_yes')
HER (-0.45040716944154796, 'discrep_yes see_yes')
HER (-0.43825129146561359, 'anger_yes insight_yes')
HER (-0.43557848206652294, 'affiliation_yes achieve_yes')
HER (-0.42824228534851044, 'feel_yes affiliation_yes')
HER (-0.42743037728954208, 'posemo_yes tentat_yes')
HER (-0.42310939078731857, 'feel_yes')
HER (-0.38914184060609702, 'is_clout_yes is_tone_no')
HER (-0.37519714979229996, 'certain_yes differ_yes')
HER (-0.37160604956967813, 'is_authentic_no is_tone_yes')
HER (-0.32676755586394357, 'cause_yes feel_yes')
HER (-0.31071363256271661, 'negemo_yes sad_yes')
HER (-0.30031547976460071, 'feel_yes achieve_yes')
HER (-0.29885731176628139, 'tentat_yes see_yes')
HER (-0.29612634066155435, 'posemo_yes power_yes')
HER (-0.29471824658367307, 'anx_yes insight_yes')
HER (-0.28920318885332524, 'achieve_yes reward_yes')
HER (-0.2867808173922356, 'is_authentic_yes is_tone_yes')
HER (-0.27716450219731992, 'posemo_yes certain_yes')
HER (-0.25889374144211141, 'negemo_yes insight_yes')
HER (-0.25843432515704862, 'posemo_yes insight_yes')
HER (-0.25551390798477625, 'power_yes nonflu_yes')
HER (-0.24900636676423812, 'certain_yes affiliation_yes')
HER (-0.24797209923683924, 'is_tone_no posemo_yes')
HER (-0.24565998510036338, 'differ_yes netspeak_yes')
HER (-0.23037562619103644, 'differ_yes power_yes')
HER (-0.19328731734056834, 'is_clout_no')
HER (-0.18890370185787742, 'certain_yes see_yes')
HER (-0.17671569872317439, 'insight_yes cause_yes')
HER (-0.1700557019585674, 'is_clout_yes hear_yes')
HER (-0.16411674730004153, 'is_clout_yes tentat_yes')
HER (-0.1639246421641295, 'is_analytic_yes')
HER (-0.16273674799617899, 'anger_yes sad_yes')
HER (-0.1625899777471253, 'differ_yes affiliation_yes')
HER (-0.16157047709186367, 'discrep_yes certain_yes')
HER (-0.1609143256196886, 'is_analytic_no certain_yes')
HER (-0.16064235001161958, 'certain_yes feel_yes')
HER (-0.16006277086008144, 'is_authentic_yes is_tone_no')
HER (-0.16005860977993783, 'achieve_yes risk_yes')
HER (-0.15742061465661672, 'hear_yes achieve_yes')
HER (-0.14267441374502593, 'see_yes feel_yes')
HER (-0.13602041201162071, 'is_authentic_yes tentat_yes')
HER (-0.12947274828690092, 'is_clout_yes cause_yes')
HER (-0.1248187082242028, 'affiliation_yes risk_yes')
HER (-0.11811638584845924, 'differ_yes hear_yes')
HER (-0.10808216298923366, 'hear_yes reward_yes')
HER (-0.096156171464007706, 'is_analytic_no hear_yes')
HER (-0.086050380989222672, 'sad_yes differ_yes')
HER (-0.085565332390751689, 'differ_yes reward_yes')
HER (-0.077569468574292269, 'hear_yes assent_yes')
HER (-0.07569049742322137, 'insight_yes discrep_yes')
HER (-0.074081315180099014, 'is_analytic_yes is_authentic_yes')
HER (-0.07302829389702821, 'feel_yes reward_yes')
HER (-0.062610169479684119, 'is_authentic_no certain_yes')
HER (-0.061977666635021064, 'cause_yes tentat_yes')
HER (-0.057085591169437656, 'is_analytic_no discrep_yes')
HER (-0.049974836332326106, 'power_yes risk_yes')
LER (2.3077099687674414, 'netspeak_yes')
LER (1.1662525223373235, 'is_authentic_no insight_yes')
LER (1.0814929945054665, 'negemo_yes')
LER (1.0292390202542432, 'negemo_yes see_yes')
LER (1.0278882532525306, 'is_authentic_yes netspeak_yes')
LER (1.0088107212548256, 'posemo_yes achieve_yes')
LER (1.0022700198891874, 'is_analytic_yes tentat_yes')
LER (0.97978047643524657, 'feel_yes netspeak_yes')
LER (0.96155751827674896, 'is_analytic_yes is_clout_yes')
LER (0.95077084598777917, 'insight_yes power_yes')
LER (0.93117134022148851, 'is_tone_no negemo_yes')
LER (0.92843512075054624, 'certain_yes netspeak_yes')
LER (0.92129247925753743, 'cause_yes achieve_yes')
LER (0.90851026398924561, 'is_analytic_yes affiliation_yes')
LER (0.88423205594315346, 'netspeak_yes assent_yes')
LER (0.82463893394548915, 'is_clout_yes affiliation_yes')
LER (0.80579692857818963, 'is_analytic_no insight_yes')
LER (0.79963097982831222, 'posemo_yes affiliation_yes')
LER (0.79300681281635699, 'cause_yes power_yes')
LER (0.74685297310483623, 'see_yes reward_yes')
LER (0.74664239502975016, 'is_analytic_yes see_yes')
LER (0.72774910084856159, 'is_analytic_yes is_tone_no')
LER (0.68935457442545156, 'is_clout_no is_authentic_no')
