HER (-4.5731759008166861, 'type_photo')
HER (-1.8487710703867855, 'anger_yes')
HER (-1.1948483469050184, 'see_yes')
HER (-1.0973269073104535, 'has_hashtag')
HER (-0.62833776219653714, 'differ_yes')
HER (-0.58543182505266667, 'feel_yes')
HER (-0.55505481680323498, 'is_authentic_yes')
HER (-0.52533492775422974, 'anx_yes')
HER (-0.49642343972810754, 'posemo_yes')
HER (-0.44958079824330521, 'low_wps')
HER (-0.40261304066403447, 'reward_yes')
HER (-0.37095893027820659, 'sad_yes')
HER (-0.33479872347415757, 'swear_yes')
HER (-0.065236010799928745, 'discrep_yes')
LER (4.7716021602426437, 'type_event')
LER (4.1165433777737377, 'type_status')
LER (4.1147557275486353, 'type_link')
LER (1.9972536590627201, 'filler_yes')
LER (0.75388225904471873, 'netspeak_yes')
LER (0.61486604585511206, 'has_qmark')
LER (0.5851589716915675, 'has_url')
LER (0.51317365521993596, 'is_tone_no')
LER (0.31795569043862792, 'many_sixltr')
LER (0.26853653382874609, 'is_authentic_no')
LER (0.26641139778287282, 'is_clout_yes')
LER (0.20722592445301136, 'is_analytic_yes')
LER (0.1673701514639836, 'is_tone_yes')
